sensible	'sɛnsəbl	'sensɪb(ə)l	adj::可感觉的；明智的::reasonable, practical, and showing good judgment	sensible heat::显热；焓¦sensible of::察觉；了解	She seems very sensible.::她好像很明智。¦sensible advice::合理的建议¦It’s sensible to keep a note of your passport number.::把你的护照号码记下来是明智的。¦Moving house seemed like the sensible thing to do .::搬家似乎是明智的做法。	adj::明智的；明显的；意识到的；通晓事理的::obvious, aware, distinct, wise, visible	adj::sensitive:: 敏感的；[仪] 灵敏的；感光的；易受伤害的¦adj::senseless:: 愚蠢的；无知觉的；无意识的¦adj::sensing:: 敏感的¦adj::sensate:: 可感觉的；知觉的¦adv::sensibly:: 明显地；容易感知地；聪明地¦adv::sensitively:: 敏感地；易感知地¦adv::senselessly:: 毫无知觉地；无意识地；不省人事地¦n::sense:: 感觉，官能；观念；道理；理智¦n::sensation:: 感觉；轰动；感动¦n::sensitivity:: 敏感；敏感性；过敏¦n::sensibility:: 情感；敏感性；感觉；识别力¦n::sensing:: 传感；感觉；测知¦n::sensationalist:: 感觉论者¦v::sensing:: 感觉，了解（sense的现在分词）¦vi::sensitise:: 变得敏感（等于sensitize）¦vt::sense:: 感觉到；检测¦vt::sensibilize:: 使感觉敏锐¦vt::sensitise:: 使敏感（等于sensitize）		 sens(感觉) + ible(可…的) → 可感觉到的 → 合情理的			
sign	saɪn	saɪn	n::记号；标志；征兆::an event, fact etc that shows that something is happening or that something is true or exists¦v::签名::to write your  signature  on something to show that you wrote it, agree with it, or were present	sign up::签约雇用，签约参加¦sign on::开始广播；签约雇用¦sign for::签收¦sign in::签到；注册；登记；签收¦sign up for::注册，选课；报名参加¦sign language::手语；符号语言¦sign a contract::签订合同；签合同；签署合同¦signs and wonders::神迹奇事¦traffic sign::交通标志¦shop sign::店铺招牌；牌号¦warning sign::警告标志；警报信号¦stop sign::停车标志；停止信号/标志¦star sign::星座¦sign off::停止活动；停止广播¦road sign::路标，道路标志¦zodiac sign::星座；生肖；黄道十二宫¦positive sign::n. 正号¦sign of the zodiac::星座老虎机；[天]黄道十二宫¦sign out::签名登记离开；用签名记录离开的时间¦equal sign::等号	A paw print in the dust was a sign that a tiger was close.::沙土里的一个爪印表明附近有老虎。¦There were no signs of forced entry into the house.::没有强行入室的痕迹。	n::迹象；符号；记号；手势::symbol, breath, evidence, mark, motion¦vi::签署；签名::subscribe¦vt::签署；示意::ink, endorse	adj::signal:: 显著的；作为信号的¦adj::signed:: 有符号的；已签字的；有正负之分的¦n::signal:: 信号；暗号；导火线¦n::signage:: 引导标示¦n::signaling:: 发信号；打信号¦n::signing:: 签署；签字¦n::signer:: 签名者；用手势示意者¦n::signaler:: 信号装置；信号员¦n::signalisation:: 信号通知¦n::signalization:: 信号作用¦n::signaller:: 通讯兵；信号装置¦v::signed:: 署名；写下；预示；示意（sign的过去分词）¦v::signing:: 签字；写下；示意（sign的ing形式）¦vi::signal:: 发信号¦vi::signify:: 有重要性；要紧；冒充内行¦vi::signalize:: 发信号¦vt::signal:: 标志；用信号通知¦vt::signify:: 表示；意味；预示¦vt::signalise:: 使…显著；用信号通知；庆祝；突出地表明¦vt::signalize:: 使显眼；使著名；向…发信号					
as	æz,əz	æz; əz	prep::与...形成对照::	as well::也；同样地；还不如¦as well as::也；和…一样；不但…而且¦as one::一致的¦as soon::◎宁愿…，宁可…¦as soon as::一…就…¦as long as::只要；和…一样长¦as if::犹如，好似¦as much::也；同样多的¦as for::关于，至于¦as soon as possible::尽快¦as a whole::总的来说¦as far as::adv. 至于，直到，远到；就…而言¦as of::自……起¦as though::好像；仿佛¦as being::就是；即像¦as early as::早在…的时候¦as usual::像往常一样；照例¦as good as::和…几乎一样，实际上等于…¦as per::按照，依据；如同¦as such::同样地；本身；就其本身而论		conj::因为；随着；虽然；依照；当…时::because, although, since, for, seeing¦prep::如同；当作；以…的身份::in the light of, like¦adv::同样地；和…一样的::equally, similarly, same, likewise						
explicit	ɪk'splɪsɪt	ɪk'splɪsɪt; ek-	adj::清楚的，明确的::expressed in a way that is very clear and direct	explicit expression::显式表达式¦explicit knowledge::显性知识；外显知识¦explicit memory::外显记忆¦explicit function::显函数¦explicit formulation::显式	The contrast could not have been made more explicit.::这个对比再清楚不过了。¦explicit knowledge of grammar::清楚易懂的语法知识¦The kidnappers gave us explicit instructions not to involve the police.::绑匪明确告诉我们不许报警。¦Be explicit when you talk about money with your family.::与家人谈钱的问题要直截了当。	adj::明确的；清楚的；直率的；详述的::precise, decided, distinct, specific, express	adv::explicitly:: 明确地；明白地¦n::explicitness:: 直言不讳；明确性	ambiguous				
wreck	rɛk	rek	n::破坏，船舶失事；失事船只::a ship that has sunk	train wreck::失事列车；训练残骸	He was still alive when they pulled him from the wreck.::他们把他从失事的车辆中拖出来时，他还活着。	n::破坏；[水运]失事；残骸；失去健康的人::destruction, breaking, blasting, remain, disruption¦vt::破坏；[水运]使失事；拆毁::destroy, undermine, founder	adj::wrecked:: 失事的（船）；迷幻的，兴奋的¦n::wreckage:: （失事船或飞机等的）残骸；（船只等的）失事¦n::wrecker:: 使船失事的人，肇事者；失事现场清理人；打捞船¦n::wrecking:: 失事，遇难；遇难船；营救难船					
ravage	'rævɪdʒ	'rævɪdʒ	vt&vi::毁坏，蹂躏；抢劫，掠夺::to damage something very badly		a country ravaged by civil war::遭受内战重创的国家¦His health was gradually ravaged by drink and drugs.::酗酒和吸毒渐渐毁了他的健康。	vt::毁坏；破坏；掠夺::destroy, harry, do for¦n::蹂躏，破坏::destruction, breaking, blasting¦vi::毁坏；掠夺::do for, play havoc with	adj::raven:: 乌黑的¦n::raven:: 掠夺，劫掠；大乌鸦¦vi::raven:: 掠夺；狼吞虎咽¦vt::raven:: 掠夺；狼吞虎咽					
wreathe	rið	riːð	vt&vi::覆盖，包围::If something is wreathed in smoke or mist, it is surrounded by it		The ship was wreathed in smoke.::那艘船笼罩在浓烟中。¦Fog wreathes the temples.::云雾缭绕着寺院。	vt::用花环装饰；将…做成花环；包围；覆盖::invest, case, roof, house, sheet¦vi::缭绕；成圈状；扭曲；环绕盘旋::coil	n::wreath:: 花冠；圈状物¦vi::wreath:: 盘旋（等于wreathe）¦vt::wreath:: 环绕（等于wreathe）					
impede	ɪm'pid	ɪm'piːd	v::妨碍；阻碍::to make it difficult for someone or something to move forward or make progress		Storms at sea impeded our progress.::海上风暴阻碍了我们的航程。	vt::阻碍；妨碍；阻止::dispute, let, stem, slow	n::impediment:: 口吃；妨碍；阻止¦n::impedance:: [电] 阻抗		 im + ped(脚) + e → 用脚绊倒 → 阻碍， 妨碍			
thesis	'θisɪs	'θiːsɪs	n::(学位)论文::a long piece of writing about a particular subject that you do as part of an advanced university degree such as an MA or a PhD	graduation thesis::毕业论文；毕业设计¦thesis writing::论文写作¦scientific thesis::科学论点¦thesis defense::论文答辩	Cynthia’s still working on her thesis.::辛西娅还在写论文。	n::论文；论点::dissertation, tractate						
precedent	'prɛsɪdənt	'presɪd(ə)nt	n::先例，前例::an action or official decision that can be used to give support to later actions or decisions	judicial precedent::司法判例¦condition precedent::先决条件¦conditions precedent::先决条件	a legal precedent::判例	adj::在前的；在先的::prior, prius	adj::preceding:: 在前的；前述的¦adj::precedented:: 有先例的¦adj::precedential:: 有先例的；优先的¦n::precedence:: 优先；居先¦v::preceding:: 在...之前（precede的ing形式）¦vi::precede:: 领先，在前面¦vt::precede:: 领先，在…之前；优于，高于		 pre(在…前面) + ced(走， 前进) + ent → 走在前面的 → 先例； 惯例			
lofty	'lɔfti	'lɒftɪ	adj::极高的，高尚的，高傲的::lofty mountains, buildings etc are very high and impressive		He stayed at the Four Seasons Hotel, from whose lofty heights he could see across New York.::他住在四季酒店，从酒店高处可以看到纽约的全景。	adj::高的；崇高的；高级的；高傲的::high, tall, senior, advanced, superior	adv::loftily:: 高尚地；傲慢地¦n::loft:: 阁楼；顶楼；鸽房¦n::loftiness:: 高；崇高；高傲¦vi::loft:: 将球高击¦vt::loft:: 把…储放在阁楼内					
