abdicate	'æbdɪket	'æbdɪkeɪt	v::退位；放弃::to give up the position of being king or queen		King Alfonso XIII abdicated in favour of his eldest son.::国王阿方索十三世把王位让给了长子。¦The king was forced to abdicate the throne .::国王被迫退位。	vi::退位；放弃::fall out of, render up¦vt::退位；放弃::yield, desert, quit	adj::abdicable:: 可辞职的；可放弃的¦n::abdication:: 辞职；退位¦n::abdicator:: 让位者；放弃者	assume	 ab(离去) + dic(说话， 命令) + ate(做) → 被命令离去 → 放弃			
abnormal	æbˈnɔːrml	æb'nɔːml	adj::反常的，不规则的；变态的::very different from usual in a way that seems strange, worrying, wrong, or dangerous	abnormal phenomena::异常现象¦abnormal behavior::异常行为；变态行为¦abnormal condition::异常情况¦abnormal psychology::变态心理学¦abnormal sound::不正常声音；杂音¦abnormal return::异常返回¦abnormal situation::异常情况¦abnormal distribution::[化]非正态分布¦abnormal menstruation::月经失调	abnormal behaviour::反常行为¦an abnormal level of cholesterol::胆固醇水平异常¦My parents thought it was abnormal for a boy to be interested in ballet.::我父母认为一个男孩子对芭蕾舞感兴趣并不正常。	adj::反常的，不规则的；变态的::unnatural, eccentric	adv::abnormally:: 反常地；变态地；不规则地¦n::abnormality:: 异常；畸形，变态¦n::abnormalcy:: 反常；变态；畸形（等于abnormality）		 ab(离去) + norm(标准) + al → 脱离标准的 → 反常的			
abolish	ə'bɑlɪʃ	ə'bɒlɪʃ	v::废除，废止；取消，革除::to officially end a law, system etc, especially one that has existed for a long time		Slavery was abolished in the US in the 19th century.::美国于19世纪废除了奴隶制。	vt::废除，废止；取消，革除::recall, suppress	adj::abolishable:: 可废止的；可废除的¦n::abolition:: 废除；废止¦n::abolitionist:: 废奴主义者；废除主义者¦n::abolitionism:: 废除主义；废奴主义	establish	该词来自拉丁文abolere， 表示“破坏； 使灭绝； 阻止， 妨碍”			
absenteeism	,æbsən'tiɪzəm	æbs(ə)n'tiːɪz(ə)m	n::旷工；旷课；有计划的怠工；经常无故缺席::regular absence from work or school without a good reason			n::[劳经]旷工；旷课；有计划的怠工；经常无故缺席::truancy	adj::absent:: 缺席的；缺少的；心不在焉的；茫然的¦n::absence:: 没有；缺乏；缺席；不注意¦n::absentee:: 缺席者¦vt::absent:: 使缺席		 absent(缺席) + ee(人) + ism → 旷课， 旷工			
absorb	æbˈsɔrb; æbˈzɔrb; əbˈsɔrb	əb'zɔːb; -'sɔːb	v::吸收；吸引；承受；理解；使…全神贯注::to take in liquid, gas, or another substance from the surface or space around something	absorb in::集中精力做某事；全神贯注于	Plants absorb nutrients from the soil.::植物从土壤中吸收养分。	vt::吸收；吸引；承受；理解；使…全神贯注::attract, engage, see, read, seize	adj::absorbed:: 被吸收的；一心一意的¦adj::absorbent:: 能吸收的¦adj::absorbing:: 吸引人的；极有趣的¦adj::absorptive:: 吸收性的；有吸收力的¦adj::absorbable:: 可吸收的；容易被吸收的¦adj::absorbefacient:: 吸收性的¦n::absorption:: 吸收；全神贯注，专心致志¦n::absorbent:: [化工][核][化学] 吸收剂¦n::absorber:: 减震器；吸收器；吸收体¦n::absorbency:: 吸收能力；吸收性；吸墨性；[物化] 吸光率¦n::absorbefacient:: 吸收剂¦n::absorptance:: [物] 吸收率；吸收比¦v::absorbed:: 吸收；使全神贯注（absorb的过去分词形式）¦v::absorbing:: 吸收（absorb的ing形式）		 ab(离去) + sorb(吸收) → 吸收掉 → 吸收			
abstract	'æbstrækt	'æbstrækt	n::摘要；抽象；抽象的概念::a painting, design etc which contains shapes or images that do not look like real things or people¦adj::抽象的；深奥的::based on general ideas or principles rather than specific examples or real events¦v::摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉::to write a document containing the most important ideas or points from a speech, article etc	in the abstract::抽象地；理论上；概括地¦abstract art::n. 抽象派；抽象主义¦abstract class::[计]抽象类（不允许实例化的类）¦abstract thinking::抽象思维；抽象思考能力¦abstract painting::抽象画；抽象绘画¦abstract noun::抽象名词¦abstract factory::抽象工厂¦abstract data type::[计]抽象数据类型¦abstract expressionism::n. 抽象表现主义¦abstract idea::抽象观念¦abstract algebra::抽象代数¦abstract away from::对…不予考虑	Talking about crime in the abstract just isn’t enough.::抽象地谈论犯罪根本不足以说明问题。	n::[图情]摘要；抽象；抽象的概念::brief, summary, resume¦adj::抽象的；深奥的::deep, nonobjective¦vt::[图情]摘要；提取；使……抽象化::extract, brief	adj::abstracted:: 心不在焉的；出神的；分离出来的；抽出的¦adj::abstractionist:: 抽象派艺术的¦adj::abstractive:: 摘要式的；具有抽象能力的¦adv::abstractly:: 抽象地；理论上地¦adv::abstractedly:: 茫然地；抽象地；心不在焉地¦n::abstraction:: 抽象；提取；抽象概念；空想；心不在焉¦n::abstractionism:: 抽象派艺术；抽象主义理论¦n::abstractionist:: 抽象派艺术家；理想主义者¦n::abstractor:: 萃取器；[图情] 摘录者		 abs + tract(拉) → 将大意从文章中拉出 → 摘要			
absurd	əbˈsɚd, -ˈzɚd	əb'sɜːd	adj::荒谬的；可笑的::completely stupid or unreasonable¦n::荒诞；荒诞作品::	theatre of the absurd::荒谬剧场；荒诞派戏剧	It seems an absurd idea.::这似乎是个荒唐的想法。	adj::荒谬的；可笑的::ridiculous, preposterous	adv::absurdly:: 荒谬地；愚蠢地；悖理地¦n::absurdity:: 荒谬；谬论；荒谬的言行¦n::absurdness:: 荒谬；愚蠢；不合理	logical	 ab + surd(不合理的) → 不合理的 → 荒唐的			
abundant	ə'bʌndənt	ə'bʌnd(ə)nt	adj::丰富的；充裕的；盛产::something that is abundant exists or is available in large quantities so that there is more than enough	abundant in::富于；富有¦abundant rainfall::过量降雨	an abundant supply of fresh water::充足的淡水供应¦abundant opportunities for well qualified staff::提供给高素质的员工的大量机会	adj::丰富的；充裕的；盛产::full, ample, plentiful, luxurious	adv::abundantly:: 丰富地；大量地¦n::abundance:: 充裕，丰富		 a(无) + bund(看作bound边界) + ant(…的) → 多得没边 的→ 大量的			
academic	,ækə'dɛmɪk	ækə'demɪk	adj::学术的；理论的；学院的::relating to education, especially at college or university level¦n::大学生，大学教师；学者::a teacher in a college or university	academic research::学术研究¦academic circles::学术界¦academic year::学年¦academic achievement::学业成就；学业成绩¦academic performance::学习成绩；学业表现；学术成就¦academic study::学术研究¦academic exchange::学术交流¦academic problem::学术问题¦academic background::学术背景；学历；教育背景¦academic world::学术界¦academic freedom::n. 学术自由¦academic community::学术界；学术社群；高等教育界；高等学校的全体师生员工¦academic journal::学报，学术期刊¦academic degree::学位¦academic atmosphere::n. 学业风气，学习氛围¦academic education::学术教育；文理科教育¦academic work::学术工作；专门著作¦academic writing::论文写作；学术著作¦academic record::学业成绩¦academic discipline::n. 学术科目	He possessed no academic qualifications.::他没有学历。¦a program to raise academic standards::旨在提高学术水平的计划	adj::学术的；理论的；学院的::theoretical, collegial¦n::大学生，大学教师；学者::undergraduate, don, scholar, college student, university student	adv::academically:: 学术上；学业上¦n::academy:: 学院；研究院；学会；专科院校¦n::academia:: 学术界；学术生涯¦n::academician:: 院士；大学生；学会会员；大学教师¦n::academe:: 研究院；学院；学会（等于academy）¦n::academicism:: 形成主义；艺术院的作风¦n::academism:: 学院派；学院风气（等于academicism）					
accelerate	əkˈsɛləˌret	ək'seləreɪt	v::使……加快；使……增速::if a process accelerates or if something accelerates it, it happens faster than usual or sooner than you expect		measures to accelerate the rate of economic growth::加快经济增长速度的措施	vi::加速；促进；增加::improve, increase speed	adj::accelerated:: 加速的；加快的¦adj::accelerating:: 促进的，[物] 加速的；催化的¦adj::accelerative:: 加速的；促进的；催促的¦adj::acceleratory:: 加速的；催促的（等于accelerative）¦n::acceleration:: 加速，促进；[物] 加速度¦n::accelerator:: 油门；催化剂；[机] 加速装置¦n::accelerometer:: [航][物] 加速计¦v::accelerated:: 加速；促进（accelerate的变形）		 ac(加强) + celer(速度) + ate → 加快速度 → 促进			
access	'æksɛs	'ækses	v::使用；存取；接近::to find information, especially on a computer¦n::进入；使用权；通路::the right to enter a place, use something, see someone etc	access control::访问控制¦have access to::使用；接近；可以利用¦internet access::互联网接入¦easy access::便于检修；容易接近¦market access::市场准入；进入市场；开放市场¦data access::数据存取¦multiple access::[电脑]多路存取；多路访问¦open access::开放存取；开架阅览¦direct access::[计]直接存取¦access network::接入网；接取网络¦broadband access::宽带接入；宽频存取；宽带通信¦network access::网络接入；网络访问¦gain access::获得访问权限¦free access::自由访问；自由存取；自由入口¦remote access::[计]远程访问；远程存取¦get access to::获得；接近；可以使用¦code division multiple access::码分多址联接方式¦random access::随机存取¦public access::公共存取¦database access::数据库存取	Users can access their voice mail remotely.::用户可以远程获取语音邮件。	vt::使用；[计]存取；接近::make use of, fashion, employ, border, exercise¦n::进入；使用权；[电]通路::opening, admittance	adj::accessible:: 易接近的；可进入的；可理解的¦n::accessibility:: 易接近；可亲；可以得到¦n::accession:: 增加；就职；到达¦vt::accession:: 登记入册		 ac + cess(走) → 走过去 → 接近			
