pharmacy	'fɑrməsi	'fɑːməsɪ	n::药房；配药学，药剂学；制药业；一批备用药品::a shop or a part of a shop where medicines are prepared and sold	college of pharmacy::药学院；药剂学院¦pharmacy equipment::药房设备	an all-night pharmacy::通宵药店	n::药房；[药]配药学，药剂学；制药业；一批备用药品::dispensary, officina	n::pharmacist:: 药剂师¦n::pharmacopoeia:: 药典，处方书；一批备用药品¦n::pharmaceutics:: 制药学；配药学		 pharma (药) + cy (学科) → 药剂学			
toilsome	'tɔɪlsəm	'tɒɪls(ə)m	adj::辛苦的；劳苦的；费力的::laborious 			adj::辛苦的；劳苦的；费力的::hard, back-busting	n::toil:: 辛苦；苦工；网；圈套¦n::toiler:: 劳动者；辛苦工作的人¦vi::toil:: 辛苦工作；艰难地行进¦vt::toil:: 费力地做；使…过度劳累					
efface	ɪ'fes	ɪ'feɪs	v::抹去，抹掉；使自己不受人注意::to destroy or remove something		Nothing can efface the last picture I have of them from my mind.::没有什么能抹去他们在我脑海中留下的最后印象。	vt::抹去，抹掉；使自己不受人注意::erase from, sponge	adj::effaceable:: 能擦掉的；可抹去的；会被忘却的¦n::effacement:: 抹消；抹杀；忘却		 ef + face (脸； 表面) → 抹去表面 → 抹掉			
plastic	'plæstɪk	'plæstɪk	adj::塑料的；（外科）造型的；可塑的::made of plastic¦n::塑料制品；整形；可塑体::a light strong material that is produced by a chemical process, and which can be made into different shapes when it is soft	plastic deformation::[化]塑性变形，塑性应变¦plastic film::塑料薄膜；塑胶膜¦plastic bag::塑料袋；塑胶袋¦plastic packaging::塑料封装¦plastic surgery::[医]整形外科¦reinforced plastic::增强塑料¦plastic product::塑料制品¦plastic material::塑性材料，塑料¦plastic pipe::塑料管，塑料管材¦fiber reinforced plastic::纤维增强塑料¦plastic strain::塑性应变¦plastic part::塑料件；塑料零件¦plastic bottle::塑料瓶¦plastic welding::塑态焊接；塑性焊接¦plastic flow::塑性流动；塑性流；范性流变；粘（滞）流（动）¦plastic sheet::塑料片材；薄片；塑料薄膜¦plastic packing::塑料包装；塑料填密¦rigid plastic::硬质塑料¦foam plastic::泡沫塑料；泡沫塑胶¦plastic limit::塑性极限；塑性限度	a plastic spoon::塑料汤匙¦plastic bags::塑料袋	adj::[塑料][力]塑料的；（外科）造型的；可塑的::mouldable, malleable¦n::[塑料]塑料制品；整形；[力]可塑体::restricting, true-up	n::plasticizer:: 塑化剂；可塑剂¦n::plasticity:: 塑性，可塑性；适应性；柔软性¦n::plasticiser:: 增塑剂¦n::plastically:: 可塑性¦n::plastique:: 可塑炸弹¦vi::plasticize:: 塑化¦vi::plasticise:: （英）增塑（等于plasticize）¦vt::plasticize:: 使塑化¦vt::plasticise:: 使成可塑体					
advocacy	'ædvəkəsi	'ædvəkəsɪ	n::主张；拥护；辩护::public support for a course of action or way of doing things			n::主张；拥护；辩护::opinion, up with, affirmation	n::advocate:: 提倡者；支持者；律师¦n::advocator:: 提倡者，拥护者¦vt::advocate:: 提倡，主张，拥护		 ad (为…) + voc (喊叫) + acy → 因为支持所以为其呐喊 → 拥护			
clutter	'klʌtɚ	'klʌtə	n::杂乱，混乱::a large number of things that are scattered somewhere in an untidy way¦v::使凌乱；胡乱地填满::to cover or fill a space or room with too many things, so that it looks very untidy	sea clutter::海面回波；海面干扰¦clutter up::使杂乱	Could you get rid of some of that clutter in your bedroom?::你能把你卧室那些杂物清理掉一些吗？	n::杂乱，混乱::chaos, disorder, confusion, involvement, mix			人们为了抢购黄油 (butter)， 场面一片混乱 (clutter)			
profession	prə'fɛʃən	prə'feʃ(ə)n	n::职业，专业；声明，宣布，表白::a job that needs a high level of education and training	profession of::宣称(感情、信念等)；表白¦legal profession::法律界；法律专业¦medical profession::医疗职业¦accounting profession::会计职业¦teaching profession::教学工作；教学专业¦by profession::在职业上；就职业来说¦accountancy profession::会计专业；会计员¦the oldest profession::[诙谐语]卖淫[亦作world's oldest profession]	people who work in the professions::从事专业性工作的人¦nurses, social workers, and other people in the caring professions::护士、社工和其他从事护理行业的人	n::职业，专业；声明，宣布，表白::employment, career, calling, pursuit, statement, occupation	adj::professional:: 专业的；职业的；职业性的¦adj::professed:: 声称的；公开承认的；伪称的¦adv::professionally:: 专业地；内行地¦adv::professedly:: 在表面上；公然地；专业地¦n::professional:: 专业人员；职业运动员¦n::professor:: 教授；教师；公开表示信仰的人¦n::professionalism:: 专业主义；专家的地位；特性或方法¦n::professionalization:: 专业化；职业化¦n::professorship:: [劳经] 教授职位¦v::professed:: 声称；断言；伪称（profess的过去分词）¦vi::profess:: 声称；承认；当教授¦vi::professionalize:: 专业化；职业化¦vt::profess:: 自称；公开表示；宣称信奉；正式准予加入¦vt::professionalize:: 使…专业化；使…专业化		来自profess (v. 声称)			
parsimonious	,pɑrsə'monɪəs	,pɑːsɪ'məʊnɪəs	adj::吝啬的；过于节俭的；质量差的::extremely unwilling to spend money			adj::吝啬的；过于节俭的；质量差的::tight, stingy	n::parsimony:: 吝啬；过度节俭					
Phosphorus	'fɑsfərəs	'fɒsf(ə)rəs	n::磷::	total phosphorus::总磷¦yellow phosphorus::黄磷¦red phosphorus::红磷；赤磷¦phosphorus trichloride::三氯化磷¦phosphorus oxychloride::[化]磷酰氯；三氯氧化磷¦white phosphorus::白磷；黄磷¦phosphorus pentoxide::五氧化二磷								
bravo	,brɑ'vo	brɑː'vəʊ; 'brɑːvəʊ	n::喝彩；亡命徒::used to show your approval when someone, especially a performer, has done something very well¦v::喝彩::¦int::好极了::used to show your approval when someone, especially a performer, has done something very well		Bravo! Encore!::好极了！ 再来一个！	n::喝彩；亡命徒::plaudit, acclamation¦vt::喝彩::to applaud, cheer for¦int::好极了::marvy			 “不赖哦” → 喝彩， 拍手叫好			
alkali	'ælkə'lai	'ælkəlaɪ	n::碱；可溶性无机盐::a substance that forms a chemical salt when combined with an acid¦adj::碱性的::	alkali resistance::抗碱性，耐碱性；耐碱坚牢度¦alkali metal::[化]碱金属；[医]硷金属¦alkali solution::碱性液¦alkali liquor::碱液¦caustic alkali::[化]苛性碱	The extremely salty, alkali lake holds little life, but its waters are a favorite spot for wading birds.::其味极咸，碱湖保存了湖中的小生命，但其水域仍为涉水鸟所喜欢的地方。¦To get similar characteristics from composites, the carbon fibres are first chemically treated with an alkali which creates lots of tiny pits on their surface.::为了在复合碳材料上获取与电容器相似的性质，这种碳纤维首先经过碱化学处理以令其表面生成许多细微的凹点。¦After seeing how this air makes the ugly sagebrush and the patches of alkali and brown earth a feast to the eye, one can understand how the light of heaven may make the ugliest faces beautiful.::这儿的空气能使丑陋的灌木和斑驳的盐碱地、褐色的泥土变成视觉盛宴。 只要见过这些，你就明白为什么说天堂的圣光能让最丑的脸变得美好。	n::[化学]碱；可溶性无机盐::alcali	adj::alkalescent:: 碱性的；弱碱性的¦adj::alkalic:: 碱性的¦n::alkalinity:: [化学] 碱度；[化学] 碱性¦vi::alkalify:: 碱化¦vi::alkalinize:: 碱化；成碱性¦vi::alkalize:: 碱化；成碱性¦vt::alkalify:: 使成碱性¦vt::alkalinize:: 使碱化；使成碱性¦vt::alkalize:: 使成碱性；使碱化					
