internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
trial	'traɪəl	ˈtraɪəl	n::审判::a legal process in which a judge and often a  jury  in a court of law examine information to decide whether someone is guilty of a crime	on trial::在试验中；在受审¦clinical trial::临床试验；诊治试验¦trial production::产品试制¦trial and error::反复试验；尝试错误法¦trial run::试车；试验；测试运行¦free trial::免费试用¦trials and tribulations::艰难困苦；痛苦与磨难¦trial period::试用期¦trial order::试订单；试用订货¦first trial::初审；初次试验¦trial implementation::试行¦criminal trial::刑事审判¦fair trial::[法]公平审判¦field trial::（新产品等的）现场试验；（猎狗）实地追猎选拔或测试¦trial version::试用版¦civil trial::民事审判¦time trial::计时赛；计时游；计时测验¦by trial and error::反复试验，不断摸索¦stand trial::在受审¦court trial::法庭审判	The trial is due to start next week.::审理定于下周开始。	n::[试验]试验；审讯；努力；磨炼::effort, hearing, pain, proof, experiment¦adj::[试验]试验的；审讯的::testing	adj::tried:: 可靠的；试验过的¦adj::trying:: 难受的；难堪的；费劲的；令人厌烦的¦n::try:: 尝试；努力；试验¦v::tried:: 尝试（try的过去分词）¦v::trying:: 尝试（try的ing形式）；试验¦vi::try:: 尝试；努力；试验¦vt::try:: 试图，努力；试验；审判；考验					
untimely	ʌn'taɪmli	ʌnˈtaɪmli	adj::不适时的，不合时宜的::not suitable for a particular occasion or time		an untimely interruption::不是时候的打扰	adj::不合时宜的；过早的::previous, unseasonable¦adv::不合时宜地；过早地::prematurely, unseasonably	n::untimeliness:: 不巧的；不合时宜					
omelet		ˈɔməlɪt	n::煎蛋饼::An omelette is a type of food made by beating eggs and cooking them in a flat frying pan		...a cheese omelette.::…一份奶酪煎蛋饼。	n::煎蛋卷；炒鸡蛋::scrambled eggs						
moth	mɔθ	mɔθ	n::蛾::an insect related to the  butterfly  that flies mainly at night and is attracted to lights. Some moths eat holes in cloth.	diamondback moth::小菜蛾¦silkworm moth::蚕蛾¦gypsy moth::舞毒蛾（等于Porthetria dispar）¦silk moth::蚕蛾	What do a hummingbird, a moth, and a maple tree have in common?::蜂鸟、蛾子和枫树之间有什么共同之处呢？¦Around streetlights in leafy suburbs what often seems like a moth at first glance may in fact be a small bat.::在绿树成荫的郊区，街灯周围经常有乍一看象蛾子的飞行物，而事实上可能是一只微蝠。¦Authorities say the mob of 'roos is endangering a species of local lizard and the threatened gold sun moth through overgrazing.::有关部门表示，由于过度放牧，这些袋鼠已经对一种当地蜥蜴和金日蛾的生存构成了威胁。	n::[昆]蛾；蛀虫::miller, deathwatch beetle	adj::mothy:: 多蛾的；虫蛀的					
champagne	ʃæm'pen	ʃæmˈpeɪn	n::香槟酒::a French white wine with a lot of  bubble s  , drunk on special occasions	pink champagne::玫瑰香槟酒¦champagne bottle::凹底很深的酒瓶；香槟酒瓶	I drank a cup of champagne.::我喝了一杯香槟。¦The champagne is spilling out of the bottle.::香槟从瓶子中不断地溢出来。¦The champagne cork popped when he pulled it out.::他拔香槟酒的瓶塞时它砰的一声开了。	n::[食品]香槟酒；香槟酒色::bubbly						
dive	daɪv	daɪv	v::潜水::to jump into deep water with your head and arms going in first	dive into::v. 投入；把手伸入；钻研¦dive in::开始大吃；头朝下跳入水中¦dive for::扑向；潜水寻找…¦take a dive::◎突然下降，急剧下降，(行市等)暴跌¦dive off::从…跳水¦scuba dive::水肺潜水，蛙潜¦nose dive::头部朝下的俯冲；（价格等的）暴跌；一落千丈¦fish dive::鱼跃	Diving off the cliffs is dangerous.::从悬崖上跳水是很危险的。	vi::[水运]潜水；跳水；[航]俯冲；急剧下降::pitch down¦n::[水运]潜水；跳水；[航]俯冲；扑::phreatic water, underground water	adj::diving:: 跳水的，潜水的¦n::dove:: 鸽子；鸽派人士¦n::diving:: 跳水，潜水¦n::diver:: 潜水者；跳水的选手；潜鸟¦v::dove:: 潜水（dive的过去式）¦v::diving:: 跳水（dive的现在分词）；潜水					
raft	ræft	rɑ:ft	n::木筏::a flat floating structure, usually made of pieces of wood tied together, used as a boat	raft foundation::筏式地基，板式基础¦life raft::救生筏¦bamboo raft::竹筏；竹排	...a river trip on bamboo rafts through dense rainforest.::…一次乘着竹筏穿过茂密雨林的河上旅行。	n::筏；救生艇；（美）大量::lots of, wealth, ocean, body, billion	n::rafter:: 椽；筏夫（等于raftsman）¦vt::rafter:: 装椽于					
slit	slɪt	slɪt	v::切开，撕开::to make a straight narrow cut in cloth, paper, skin etc	slit lamp::[医]裂隙灯；缝灯；狭缝灯¦slit width::狭缝（缝隙）宽度	Guy slit open the envelope.::盖伊拆开信封。	vt::撕裂；使有狭缝::tear, lancinate¦n::裂缝；投币口::crack, split						
draw	drɔ	drɔ:	v::拖::	draw lessons from::从…吸取教训¦draw up::草拟，起草；停住；使靠近¦draw on::利用；吸收；戴上；临近¦draw a conclusion::得出结论；作结论¦draw out::取出；拟订；拉长；导致¦draw in::引诱；进站；接近黄昏；紧缩开支¦draw the conclusion::得出结论；推断¦draw attention::引起注意¦draw from::从…中得到；从…提取¦draw near::靠近；接近¦lucky draw::幸运抽奖¦draw a picture::画一张图；画幅画¦draw upon::利用；[经]开出；总结¦draw back::拉开；收回；退却；使保持距离¦draw a line::画一条线，划一界线¦draw nigh::接近，临近¦draw against::按…开具；打成平局¦draw together::聚集；靠拢¦draw bead::张力调整杆；拉深压边筋；拉道¦draw down::引来，招致；从涂层取样		vt::画；拉；吸引::picture, absorb, pull, attract, engage¦vi::拉；拖::pull¦n::平局；抽签::lot, tie	adj::drawn:: 拔出的¦n::drawing:: 图画；牵引；素描术¦n::drawer:: 抽屉；[会计] 开票人¦v::drawn:: 画，绘图（draw的过去分词）¦v::drawing:: 绘画；吸引（draw的ing形式）；拖曳					
cataract	'kætərækt	'kætərækt	n::大瀑布::a large  waterfall 			n::[眼科]白内障；[水文]大瀑布；暴雨，洪水；奔流::flood, heavy rain¦vt::倾注::pour out into						
foam	fom	fəʊm	n::泡沫::a type of soft rubber with a lot of air in it, used in furniture	polyurethane foam::聚氨酯泡沫塑料；泡沫聚氨酯；聚氨酯泡沫体；聚乌拉坦泡沫胶¦foam rubber::泡沫橡胶；海绵乳胶¦foam plastic::泡沫塑料；泡沫塑胶¦polystyrene foam::泡沫塑料；泡沫聚苯乙烯¦phenolic foam::[化]酚醛泡沫体¦plastic foam::泡沫塑料¦foam glass::泡沫玻璃；蜂窝状玻璃¦rubber foam::泡沫橡胶；海绵橡胶；多孔橡胶¦rigid foam::硬质泡沫塑料；硬塑胶¦foam drilling fluid::泡沫钻井液¦foam filter::泡沫过滤器¦foam insulation::泡沫绝缘，泡沫绝热¦foam density::泡沫密度¦latex foam::乳胶发泡体¦foam profile::泡沫分布型¦foam concrete::泡沫混凝土；泡沫砼¦cleansing foam::洁面泡沫；洗面乳¦foam cell::泡沫细胞¦foam layer::泡沫层¦flexible foam::弹性泡沫塑料；软泡沫	a foam mattress::海绵橡胶床垫	n::泡沫；水沫；灭火泡沫::bubble, spray, yeast¦vi::起泡沫；吐白沫；起着泡沫流动::spume	adj::foamy:: 泡沫的；起泡沫的；全是泡沫的¦n::foaming:: 发泡，泡沫形成¦n::foamflower:: 泡沫花¦n::foaminess:: [物] 起泡度¦v::foaming:: 起泡沫（foam的ing形式）					
omnibus	'ɑmnɪbəs	ˈɒmnɪbəs	n::公共汽车::a bus			n::公共汽车；精选集；文集::bus, motorcoach¦adj::综合性的；总括的；（包括）多项的::syntaxic, all-around						
scamper	'skæmpɚ	ˈskæmpə(r)	v::奔跑::to run with quick short steps, like a child or small animal		Children scampered off the yellow school bus and into the playground.::孩子们跑下黄颜色的校车，奔跑进了操场。	vi::蹦蹦跳跳；奔跑，惊惶奔跑::run, bounce about¦n::蹦跳；奔跑::run, crowhop						
brisk	brɪsk	brɪsk	adj::快的； 轻快的::quick and full of energy		a brisk walk::轻快的行走¦They set off at a brisk pace .::他们踏着轻快的步伐上路了。	adj::敏锐的，活泼的，轻快的；凛冽的::alive, acute, keen, lively, activated¦vi::活跃起来；变得轻快::come alive, out of one's shell	adv::briskly:: 迅速地；活泼地；尖刻地¦n::briskness:: 活泼；轻快；敏捷					
toil	tɔɪl	tɔɪl	v::长时间或辛苦地工作::to work very hard for a long period of time		People who toiled in dim, dank factories were too exhausted to enjoy their family life.::在阴暗潮湿的工厂里苦作的人们精疲力竭了，无法享受家庭生活。	n::辛苦；苦工；网；圈套::web, net, mesh, trap¦vi::辛苦工作；艰难地行进::labour over, sweat	adj::toilsome:: 辛苦的；劳苦的；费力的¦n::toiler:: 劳动者；辛苦工作的人					
scrub	skrʌb	skrʌb	v::用力擦洗，刷洗::to rub something hard, especially with a stiff brush, in order to clean it	body scrub::身体角质；身体磨砂膏¦scrub typhus::恙虫病；洪水热	She was on her hands and knees scrubbing the floor.::她正趴着擦地板。¦He scrubbed the dirt off his boots.::他把靴子上的脏土擦掉。¦The table needs to be scrubbed clean .::这桌子要擦干净。	n::矮树；洗擦；擦洗者；矮小的人（或物）::small, scouring¦vt::用力擦洗；使净化::depurate¦adj::矮小的；临时凑合的；次等的::dwarfish, runty	adj::scrubbed:: 精制的，纯净的¦adj::scrubby:: 矮小的；树丛繁盛的¦n::scrubber:: [化工] 洗涤器；洗刷者；刷子¦n::scrubbing:: [核] 洗涤¦v::scrubbing:: 用力擦洗（scrub的现在分词）¦v::scrubbed:: 擦洗；废止；揉搓（scrub的过去分词）					
shear	ʃɪr	ʃɪə(r)	n::大剪刀::A pair of shears is a garden tool like a very large pair of scissors. Shears are used especially for cutting hedges. 	shear stress::[物]剪应力；剪切应力¦shear strength::切变强度¦shear wall::剪力墙；抗震墙，耐震壁；风力墙¦shear zone::剪切区域；剪碎带¦shear rate::剪切率；切变速率¦shear deformation::剪力变形；剪切形变¦shear force::剪力，剪切力¦shear wave::横波；剪波¦shear test::[机]抗剪试验¦shear lag::剪滞；剪力滞后¦flying shear::飞剪；飞剪机；随动剪机¦shear strain::剪切应变¦shear modulus::剪切模量；剪切弹性模数¦shear wall structure::剪力墙（结构墙）结构¦high shear::高剪切¦shear flow::剪切流¦direct shear::直剪；直接剪切¦shear resistance::[流体力学]剪切阻力；剪切强度¦shear failure::剪切破坏；剪破裂；剪切断裂¦wind shear::风切变；乱流	Trim the shrubs with shears.::用大剪刀修剪这些灌木。	vt::剪；修剪；剥夺::crop, clip¦vi::剪；[机]剪切；修剪::trim off, to prune¦n::[力]切变；修剪；大剪刀::cutting back, clipper	adj::shorn:: 剪了毛的；被剥夺了的¦adj::sheared:: 修剪的¦n::shearing:: 剪羊毛；剪取的羊毛¦n::shearer:: 剪切机；剪切者¦v::shearing:: 剪羊毛（shear的现在分词）；修剪¦v::shorn:: 抢夺（shear的过去分词）¦v::sheared:: 修剪（shear的过去分词）					
ravage	'rævɪdʒ	ˈrævɪdʒ	v::破坏；毁坏::to damage something very badly¦n::毁坏后的残迹::		a country ravaged by civil war::遭受内战重创的国家¦His health was gradually ravaged by drink and drugs.::酗酒和吸毒渐渐毁了他的健康。	vt::毁坏；破坏；掠夺::destroy, harry, do for¦n::蹂躏，破坏::destruction, breaking, blasting¦vi::毁坏；掠夺::do for, play havoc with	adj::raven:: 乌黑的¦n::raven:: 掠夺，劫掠；大乌鸦¦vi::raven:: 掠夺；狼吞虎咽¦vt::raven:: 掠夺；狼吞虎咽					
crate	kret	kreɪt	n::箱::a large box made of wood or plastic that is used for carrying fruit, bottles etc	wooden crate::木箱	...a pile of wooden crates.::…一堆木制大货箱。							
fruiterer	'frutərɚ	ˈfru:tərə(r)	n::水果商::someone who sells fruit		He looked about him for the nearest shops, and found a baker's, a stationer's, and a fruiterer's, a few paces from the crescent.::他在周围寻找最近的店铺，在离开新月小屋几步路的地方，找到了一家面包店、一家文具店和一家水果店。¦Every Friday five crates of oranges and lemons arrived from a fruiterer in New York—every Monday these same oranges and lemons left his back door in a pyramid of pulpless halves.::每星期五，五箱橙子和柠檬从纽约一家水果行送到。每星期一，这些橙子和柠檬变成一座半拉半拉的果皮堆成的小金字塔从他的后门运出去。		n::fruit:: 水果；产物¦n::fruitage:: 果实；结果实；[食品] 水果；成果¦n::fruitcake:: 水果蛋糕¦n::fruitlet:: 小水果；小果实¦vi::fruit:: 结果实¦vt::fruit:: 使……结果实					
extract	'ɛkstrækt	ˈekstrækt	v::榨取::to remove an object from somewhere, especially with difficulty	extract from::从…提取，文件的摘录¦water extract::水提取物¦plant extract::植物提取物；植物浸出液¦yeast extract::酵母膏；酵母提取物¦aqueous extract::水提物¦grape seed extract::葡萄籽萃取物；葡萄籽精华¦ginseng extract::人参提取物，人参精华；人蔘萃取液，人参膏¦crude extract::n. 粗提物，\t粗抽提物；粗提取液¦ginkgo biloba extract::[中草药]银杏叶提取物；银杏萃取液；银杏精华；银杏黄酮¦herbal extract::药草浸液；草本提取物；纯天然草本提炼精华¦solvent extract::溶剂抽提物；溶剂提取物¦cucumber extract::黄瓜精华；小黄瓜萃取液¦beef extract::n. 浓缩牛肉汁；牛肉膏¦ether extract::醚提取物¦rosemary extract::迷迭香萃取物；迷迭香精华¦licorice extract::甘草萃取，甘草浸液¦malt extract::麦精，麦芽膏¦liquid extract::流浸膏；流浸膏剂¦vanilla extract::香草精，香草萃¦alcoholic extract::酒精提出物，酒精萃取物	You’ll have to have that tooth extracted.::你得把那颗牙拔掉。	vt::提取；取出；[图情]摘录；榨取::abstract, milk, pop¦n::汁；[图情]摘录；[化学][药][化工]榨出物；选粹::juice, succus	adj::extractable:: 可抽出的，可榨出的；可推断出的¦adj::extractible:: 可提取的；可榨出的；可摘录的¦n::extraction:: 取出；抽出；拔出；抽出物；出身¦n::extractor:: 提取器；抽出者；退弹簧					
canvas	'kænvəs	ˈkænvəs	n::帆布::strong cloth used to make bags, tents, shoes etc	on the canvas::(拳击等中)被击倒在地；即将失败¦cotton canvas::棉帆布；棉质油画布¦canvas shoes::帆布鞋¦canvas bag::帆布包，帆布垒包；粗帆布包¦under canvas::◎(士兵等)过帐篷生活的，(住)在帐篷里的	a canvas bag::帆布包	n::[纺]帆布::sailcloth						
garnish	'gɑrnɪʃ	ˈgɑ:nɪʃ	v::装饰，文饰； 给…加配菜::to add something to food in order to decorate it		She had finished the vegetables and was garnishing the roast.::她已经做好了蔬菜，正给烤肉配饰菜。	vt::[建]装饰::paint, hang, set sth out¦n::为增加色香味而添加的配菜；[建]装饰品::decoration, trimming	adj::garish:: 炫耀的；过分装饰的；过分鲜艳的¦adv::garishly:: 华丽地；过分装饰地¦n::garnishment:: 出庭传票；扣押令；装饰					
glistening	'gli:sniŋ	'glɪstnɪŋ	adj::闪耀的，反光的::		It shall not be a glistening film that covers a wound, but an eyelid that guards the eye.::它不应是遮掩伤口的闪亮的薄膜，而应是保护眼睛的眼睑。¦In the shallow waters off Hokkaido, a barbed poacher crawls across glistening volcanic sand on spiny pectoral fins.::在北海道外的浅水水域，一只带刺的入侵者利用胸鳍刺爬过闪亮的火山砂。¦After all these years and so many changes, however, the main focus of the FIFA World Cup™ remains the same - the glistening golden trophy, which is the embodiment of every footballer's ambition.::在经历了这么多年的发展和改变，然而FIFA世界杯的主旨仍然没有改变，那就是--闪耀的冠军金杯，每个足球选手的雄心的化身。	adj::闪亮的；闪耀的；白花花的::brilliant, shiny¦v::反光，闪耀（glisten的现在分词形式）::sparkling						
spiced	spaɪst	spaɪst	adj::含香料的； 五香的::Food that is spiced has had spices or other strong-tasting foods added to it	spice of life::生活的调味品；使人高兴的事¦spice girls::英国辣妹组合¦spice islands::香料群岛（等于Moluccas，印度尼西亚东北部马鲁古群岛）	Every dish was served heavily spiced.::每道菜端上来都是加过很多香料的。	adj::五香的；调过味的；含香料的::seasoned						
baked	bekt	beɪkt	adj::烘烤制作的::	baked potato::烤马铃薯；烘马铃薯¦baked beans::（加番茄酱等制的）烘豆		adj::烤的；烘焙的::roasted, grilled	adj::baking:: 烘烤的¦n::bake:: 烤；烘烤食品¦n::baker:: 面包师；面包工人；（便携式）烘炉¦n::baking:: 烘焙，烘烤；一次烘焙的量¦v::baking:: 烤，烘焙；烧硬，烘干（bake的ing形式）¦vi::bake:: 烘面包；被烤干；受热¦vt::bake:: 烤，烘焙					
brass	bræs	brɑ:s	n::黄铜::a very hard bright yellow metal that is a mixture of  copper  and  zinc 	top brass::[口]高级军官；[口]要员；[航海]顶部轴衬¦brass wire::黄铜丝，铜丝¦brass band::n. 军乐队；黄铜带；吹奏乐队¦brass tacks::基本事实；事实真相；黄铜平头钉¦brass ball::黄铜球¦brass instrument::铜管乐器¦brass plate::n. 黄铜名牌¦brass ball valve::黄铜球阀¦brass alloy::黄铜合金¦brass ring::黄铜圈¦antique brass::古铜色¦brass casting::黄铜铸造；黄铜铸件¦brass fittings::黄铜配件¦yellow brass::黄铜，铜锌合金¦brass plated::镀黄铜	an old brass bedstead::老式黄铜床架	n::[材]黄铜；黄铜制品；铜管乐器；厚脸皮::orichalc, yellow metal	adj::brassy:: 刺耳的；厚脸皮的；似黄铜的¦n::brassy:: 铜头高尔夫球棍¦n::brasier:: 火盆；烘篮；黄铜匠					
liquor	'lɪkɚ	ˈlɪkə(r)	n::酒，烈性酒::a strong alcoholic drink such as whisky	black liquor::[化]黑液；纸浆黑液¦in liquor::带有醉意，喝醉¦mother liquor::母液¦waste liquor::废液¦alkali liquor::碱液¦liquor store::贩酒店¦spent liquor::废液¦hard liquor::烈性酒；蒸馏酒¦alcoholic liquor::[医]醇制溶液；含醇液¦white liquor::白液（多数来源于造纸厂）¦liquor ratio::浴比¦medicinal liquor::药酒；酒剂¦acid liquor::酸液¦green liquor::绿液¦leach liquor::沥滤液，浸出液；浸提液¦red liquor::[美国俚语]烈酒(尤指威士忌)¦filter liquor::滤液¦corn steep liquor::玉米浆	The room was filled with cases of liquor.::房间里满是一箱箱的烈性酒。	n::酒，含酒精饮料；[化学]溶液；[物]液体；烈酒::solution, fluid¦vi::喝酒，灌酒::wine, knock over a drink¦vt::使喝醉::intoxicate	adj::liquid:: 液体的；清澈的；明亮的；易变的¦n::liquid:: 液体，流体；流音					
orchestra	'ɔrkɪstrə	ˈɔ:kɪstrə	n::管弦乐队::	symphony orchestra::交响乐团¦philharmonic orchestra::爱乐乐团，爱乐团；管弦乐团¦chamber orchestra::室内管弦乐队¦boston symphony orchestra::波士顿交响乐团	He directed an orchestra.::他指挥一个管弦乐队。¦She conducted an orchestra of forty instruments.::她在一个拥有40种乐器的管弦乐队里当指挥。		adj::orchestral:: 管弦乐的；管弦乐队的¦n::orchestration:: 管弦乐编曲；和谐的结合¦n::orchestrator:: 管弦乐演奏家；管弦乐编曲家¦vi::orchestrate:: 编管弦乐曲¦vt::orchestrate:: 把…编成管弦乐曲；（美）精心安排；把…协调地结合起来					
gaudy	'gɔdi	ˈgɔ:di	adj::花哨的::clothes, colours etc that are gaudy are too bright and look cheap – used to show disapproval		gaudy jewelry::俗丽的珠宝	adj::华而不实的；俗丽的::purple, gingerbready	adv::gaudily:: 俗丽地¦n::gaud:: 华丽而俗气的东西¦n::gaudery:: 夸示；俗丽的服饰¦n::gaudiness:: 华美，俗丽的美	subdued				
permeate	'pɝmɪet	ˈpɜ:mieɪt	vt&vi::弥漫； 遍布；感染，传播； 渗入::if liquid, gas etc permeates something, it enters it and spreads through every part of it	permeate through::渗透入；透过	The smell of diesel oil permeated the air.::空气里充斥着柴油的气味。	vt::渗透，透过；弥漫::filter, penetrate¦vi::弥漫；透入；散布::smoke, shed	adj::permeable:: 能透过的；有渗透性的¦adj::permeant:: 浸透的；渗透的¦n::permeability:: 渗透性；透磁率，导磁系数；弥漫¦n::permeation:: 渗透；[化学] 渗透作用；散布性					
perish	'pɛrɪʃ	ˈperɪʃ	v::死亡，丧生::to die, especially in a terrible or sudden way	perish the thought::打消念头	Hundreds perished when the ship went down.::轮船沉没，数百人罹难。	vt::使麻木；毁坏::destroy, damage¦vi::死亡；毁灭；腐烂；枯萎::die, flag	adj::perishable:: 易腐坏的；易毁灭的；会枯萎的¦n::perishable:: 容易腐坏的东西¦n::perishability:: 非持久性；易腐性¦n::perishableness:: 腐败性；易朽性¦n::perisher:: 讨厌的人；死亡的东西；做事卤莽的人					
penetrate	'pɛnətret	ˈpenɪtreɪt	v::穿透，刺入； 渗入::to enter something and pass or spread through it, especially when this is difficult	penetrate into::刺入；透入¦penetrate through::穿透	bullets that penetrate thick armour plating::穿过厚装甲的子弹¦Sunlight barely penetrated the dirty windows.::阳光几乎照不进那些肮脏的窗户。	vt::渗透；穿透；洞察::filter, permeate¦vi::渗透；刺入；看透::sink, osmose	adj::penetrating:: 渗透的；尖锐的；有洞察力的¦adj::penetrable:: 可穿透的；可渗透的¦n::penetration:: 渗透；突破；侵入；洞察力¦n::penetrability:: 渗透性；穿透性；透明性¦n::penetrator:: 侵入者，洞察者；渗透者¦v::penetrating:: 穿透；贯穿（penetrate的ing形式）					
perpetrate	'pɝpətret	ˈpɜ:pətreɪt	v::犯（罪）； 做（恶）::to do something that is morally wrong or illegal		Who could have perpetrated such a dreadful crime?::谁会犯下如此可怕的罪行？	vt::犯（罪）；做（恶）::come, faire	n::perpetrator:: 犯罪者；作恶者；行凶者¦n::perpetration:: 犯罪；做坏事					
innuendo	,ɪnju'ɛndo	ˌɪnjuˈendəʊ	n::暗讽，讽刺； 影射::a remark that suggests something sexual or unpleasant without saying it directly, or these remarks in general		His writing is full of sexual innuendoes.::他的作品充满了挑逗性的语言。¦a campaign based on rumour, innuendo, and gossip::以谣言、影射和流言蜚语为内容的宣传活动	n::暗讽，讽刺；影射::hit, satire¦vt::暗示，旁敲侧击地表达::imply, hint at¦vi::影射；说讽刺话::talk at, glance at						
prodigality		,prɒdɪ'ɡælətɪ	n::浪费；慷慨；丰富::			n::浪费；慷慨；丰富::abundance, waste, plenty, pregnancy, amplitude	adj::prodigal:: 挥霍的；十分慷慨的¦adv::prodigally:: 浪费地；丰饶地¦n::prodigal:: 浪子；挥霍者					
