adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
aftermath	'æftəmæθ	ˈɑ:ftəmæθ	n::后果；余波::the period of time after something such as a war, storm, or accident when people are still dealing with the results		In the aftermath of the coup, the troops opened fire on the demonstrators.::在那次政变的余波之中，军队向示威者开了枪。	n::后果；余波::sequel, backwash	n::aftereffect:: 后果；余波；[数] 后效					
afterworld	'æftəwɝld	'ɑ:ftəwɜ:ld	n::阴间::a world inhabited after death 			n::来世，后世；阴间；后代::eternity, kingdom come						
ample	'æmpl	ˈæmpl	adj::足够的；丰富的::more than enough	ample evidence::充分证据	an ample bosom::丰满的胸部	adj::丰富的；足够的；宽敞的::abundant, sufficient, competent, full, plenty	adv::amply:: 充足地；广大地¦n::ampleness:: 富裕；广大					
ascertain	'æsɚ'ten	ˌæsəˈteɪn	v::确定，查明::to find out something		A postmortem was ordered to try to ascertain the cause of death.::下令验尸以查明死因。	vt::确定；查明；探知::confirm, identify, assure oneself	adj::ascertainable:: 可查明的；可确定的					
assure	ə'ʃʊr	əˈʃʊə(r)	v::向...保证，使...确信::to tell someone that something will definitely happen or is definitely true so that they are less worried	assure oneself::弄清楚，查明¦assure of::vt. 向...保证）；查明（使相信	The document is genuine, I can assure you .::我能向你保证，这文件是真的。	vt::保证；担保；使确信；弄清楚::undertake, swear for	adj::assured:: 确定的；自信的¦adj::assuring:: 保证的；确信的；使人有信心的¦adv::assuredly:: 确实地；确信地¦n::assurance:: 保证；保险；确信；断言¦n::assured:: 被保险人¦n::assuredness:: 确实；自信；确信；厚颜¦v::assured:: 保证；确实（assure的过去分词）¦v::assuring:: 确信（assure的ing形式）					
attain	ə'ten	əˈteɪn	v::获得；得到::to succeed in achieving something after trying for a long time		More women are attaining positions of power.::越来越多的女性获得要职。	vt::达到，实现；获得；到达::accomplish, carry out, earn, acquire, come true¦vi::达到；获得；到达::go, take, land, arrive at¦n::成就::achievement, effort, success, accomplishment, Vostro	adj::attainable:: 可得到的；可达到的；可到达的¦n::attainment:: 达到；成就；学识¦n::attainability:: 可达到；可获得					
autopsy	'ɔtɑpsi	ˈɔ:tɒpsi	n::尸体剖检::an examination of a dead body to discover the cause of death		an autopsy report::验尸报告	n::验尸；[病理][特医]尸体解剖；尸体剖检::necropsy, inquest						
Bible	'baɪbl	ˈbaɪbəl	n::圣经::TheBible is the holy book on which the Jewish and Christian religions are based	holy bible::n. 圣经¦bible society::圣经公会¦family bible::家庭圣经；家庭用大型圣经¦bible school::圣经学校¦bible paper::圣经纸；字典纸；印度纸¦american bible society::美国圣经学会（1816年创立于美国纽约的基督教国际组织）	...a publisher of bibles and hymn books.::…一家《圣经》册本和圣歌集出版商。							
charitable	'tʃærətəbl	ˈtʃærətəbl	adj::仁慈的::relating to giving help to the poor	charitable foundation::慈善基金，慈善机构¦charitable donation::慈善捐款	charitable groups::慈善团体¦a charitable donation::慈善捐赠	adj::慈善事业的；慷慨的，仁慈的；宽恕的::generous, handsome, liberal	adv::charitably:: 慈善地；慷慨地；宽怒地¦n::charity:: 慈善；施舍；慈善团体；宽容；施舍物¦n::charitableness:: 宽大；慈善					
combination	,kɑmbɪ'neʃən	ˌkɒmbɪˈneɪʃn	n::结合体，混合物::two or more different things that exist together or are used or put together	combination of::…的组合¦in combination::结合¦combination with::与…结合¦in combination with::与…结合，与…联合¦linear combination::线性组合¦color combination::配色；颜色合成¦business combination::企业合并¦chemical combination::化合；化合作用¦combination skin::混合性皮肤¦permutation and combination::n. [数]排列组合¦key combination::[计]组合键，关键字组合¦combination property::综合性能¦load combination::荷载组合，负载组合¦convex combination::[数]凸组合¦combination of enterprise::企业合并¦combination lock::暗码锁；号码锁¦combination valve::复合阀¦combination drilling::联合钻眼，联合钻井¦combination switch::组合开关；控制器	a combination nightclub and café::夜总会兼咖啡馆	n::结合；[数]组合；联合；[化学]化合::combined with, alliance, unity, union, association	adj::combined:: 结合的；[数] 组合的¦adj::combining:: 化合的，结合性的¦adj::combinatorial:: 组合的¦adj::combinational:: 组合的¦adj::combinable:: 可以化合的¦adj::combinative:: 结合的；可结合的；有结合力的¦adj::combinatory:: 有结合力的；结合的¦n::combine:: 联合收割机；联合企业¦n::combinatory:: 组合¦v::combined:: 使结合；联合（combine的过去分词）¦v::combining:: 结合（combine的ing形式）¦vi::combine:: 联合，结合；化合¦vt::combine:: 使化合；使联合，使结合					
