textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
conversation	,kɑnvɚ'seʃən	kɒnvə'seɪʃ(ə)n	n::交谈；谈话::an informal talk in which people exchange news, feelings, and thoughts	in conversation::在谈话；交谈中¦english conversation::英语会话；英文会话¦telephone conversation::打电话¦man-machine conversation::人机对话¦private conversation::私人通话¦make conversation::交谈；闲聊；找话谈¦in conversation with::和……谈话¦make a conversation::会话¦conversation with god::与神对话（影片名称）	a telephone conversation::电话交谈¦Children quickly get bored by adult conversation.::儿童对成年人的谈话很快就会厌倦。¦They had a short conversation in German and seemed to be disagreeing about something.::他们用德语说了一会儿，好像对什么事有分歧。¦It’s impossible to carry on a conversation with all this noise in the background.::在这么喧闹的环境中进行谈话是不可能的。¦‘Did you have a good journey?’ he said, trying to make conversation .::“你旅途愉快吗？”他问道，试图找话谈。¦He was silent, no matter how hard Sofia tried to engage him in conversation .::无论索菲娅怎么引他说话，他就是一声不吭。¦After a while, the conversation turned to a friend’s coming wedding.::过了一会儿，话题就转到一个朋友即将举行的婚礼上去了。¦They were deep in conversation, relaxed and smiling.::他们谈得很投入，很放松，脸上带着微笑。¦He could hear snatches of conversation from across the room.::他从房间对面听得到零星的对话。	n::交谈；会话；社交::congress, dialog	adj::converse::相反的，逆向的；颠倒的¦adj::conversational::对话的；健谈的¦adv::conversationally::会话地¦n::converse::逆行，逆向；倒；相反的事物¦n::conversationalist::健谈的人¦vi::converse::交谈，谈话；认识		来自converse(vi. 交谈， 谈话)			
aloud	ə'laʊd	ə'laʊd	adv::大声地；出声地::if you read, laugh, say something etc aloud, you read etc so that people can hear you	read aloud::大声朗读¦reading aloud::大声朗读；大声朗诵¦thinking aloud::[心理学]出声思维；放声思考¦think aloud::边想边说出，自言自语	When we were children, our father read aloud to us.::当我们是孩子时，我们的父亲大声地朗读给我们听。	adv::大声地；出声地::out, loudly			英国选秀节目中脱颖而出的一个五人女子组合叫Girls Aloud (高歌女孩)			
pronunciation	prə,nʌnsɪ'eʃən	prə,nʌnsɪ'eɪʃ(ə)n	n::发音；读音::the way in which a language or a particular word is pronounced	correct pronunciation::正音；正确发音	She gave the word its French pronunciation.::她给出了这个单词的法语发音。	n::发音；读法::sonation, vocalization	adj::pronounced::显著的；断然的；讲出来的¦adj::pronounceable::读得出的；可发音的；可断言的¦v::pronounced::发音；宣告；断言（pronounce的过去分词）¦vi::pronounce::发音；作出判断¦vt::pronounce::发音；宣判；断言					
sentence	'sɛntəns	'sent(ə)ns	n::句子::a group of words that usually contains a subject and a verb, and expresses a complete idea. Sentences written in English begin with a capital letter and usually end with a  full stop  or a  question mark		His voice dropped at the end of the sentence.::到句子结尾处，他压低了嗓音。	n::[语][计]句子，命题；[法]宣判，判决::award, proposition¦vt::判决，[法]宣判::determine, adjudge	adj::sentential::句子的；判决的					
patient	ˈpeʃənt	'peɪʃ(ə)nt	adj::有耐心的::able to wait calmly for a long time or to accept difficulties, people’s annoying behaviour etc without becoming angry¦n::病人::someone who is receiving medical treatment from a doctor or in a hospital	patient of::能忍受¦patient with::对……有耐心¦patient care::病人护工；病人照护；病患照顾¦patient safety::病人安全¦mental patient::精神病人¦patient compliance::病人的依从性；病人的配合度¦patient monitor::病人监护仪¦patient history::病历；既往症	You’ll just have to be patient and wait till I’m off the phone.::你只能耐心点，等我打完电话。	adj::有耐性的，能容忍的::indefatigable¦n::[医]病人；患者::sick, sufferer	adv::patiently::耐心地；有毅力地¦n::patience::耐性，耐心；忍耐，容忍		对待病人(patient) 要耐心 (patient)			
expression	ɪk'sprɛʃən	ɪkˈspreʃn	n::表达（方式）；表示::something you say, write, or do that shows what you think or feel	gene expression::[化]基因表达；基因表现¦facial expression::面部表情¦mathematical expression::数学表达式¦freedom of expression::言论自由；表达自由¦regular expression::正则表达式；正规表达式¦analytic expression::解析式；分析式¦relational expression::[计]关系表达式¦general expression::通式；一般式¦expression vector::表达载体¦emotional expression::表情；情绪表现¦explicit expression::显式表达式¦technique of expression::表现手法¦specific expression::特有表达式¦creative expression::创造性表达（如绘画、工艺等表现）¦give expression to::表达出¦beyond expression::无法表达；形容不出¦approximate expression::近似式¦find expression in something::在...中表达出来¦find expression in::在…中表现出¦arithmetic expression::算术表达式	Student leaders are demanding greater freedom of expression (= the right to say what you think without being punished ).::学生领袖要求得到更多的言论自由。	n::[数]表达，表示；表情；[遗]表现力；措辞::utterance, representative of	adj::express::明确的；迅速的；专门的¦adj::expressive::表现的；有表现力的；表达…的¦adj::expressionless::无表情的；呆板的¦adj::expressible::可表现的；可榨出的¦adj::expressionistic::表现主义的；表现派的¦adv::expressively::表现地；意味深长地；表示地¦n::express::快车，快递，专使；捷运公司¦n::expressionism::表现主义¦n::expressiveness::善于表现；表情丰富¦vt::express::表达；快递		来自express(vt. 表达， 表示)			
discover	dɪ'skʌvɚ	dɪ'skʌvə	v::发现::to find someone or something, either by accident or because you were looking for them		The body was discovered in a field.::尸体是在一块田地里找到的。¦Forest Service crews often discover campfires that have not been put out completely.::林务局工作人员常常发现未完全熄灭的营火。¦She discovered that she was pregnant.::她发觉自己怀孕了。	vt::发现；发觉::detect, sniff out¦vi::发现::sniff out, to find	adj::discoverable::发现的；显露的；泄露的¦n::discovery::发现，发觉；被发现的事物¦n::discoverer::发现者		dis(去掉)+cover(盖子)→拿掉盖子→发现， 找到			
secret	'sikrɪt	'siːkrɪt	n::秘密；秘诀::something that is kept hidden or that is known about by only a few people¦adj::秘密的；保密的::known about by only a few people and kept hidden from others	in secret::秘密地；私下地¦secret of success::n. 成功的秘诀¦keep a secret::保守秘密¦top secret::adj. 绝对机密的¦trade secret::n. 商业秘密；行业秘密¦secret service::特务机关；联邦经济情报局¦secret recipe::秘方；秘密配方¦business secret::[经]商业秘密¦secret weapon::秘密武器¦keep secret::保密；保守秘密¦secret love::私恋¦open secret::公开的秘密¦state secret::[法]国家机密¦secret code::保密码，密码¦secret agent::间谍；特务¦secret police::秘密警察¦secret society::秘密社团；帮会¦secret ballot::无记名投票¦secret message::机密信息，密电¦keep the secret::保守秘密	I can’t tell you. It’s a secret.::我不能告诉你，这是个秘密。¦It was no secret that the two men hated each other.::这两个男人相互仇视，这算不得什么秘密。¦Don’t worry. Your secret is safe with me (= I won’t tell anyone about it ) .::别担心，我会替你保守秘密。¦Your hair always looks so great – what’s your secret ?::你的头发看起来总是很漂亮——你的秘诀是什么？¦They kept their relationship secret from their parents.::他们俩的关系瞒着父母。	n::秘密；秘诀；机密::privacy, confidence, mystery, tips, stealth¦adj::秘密的；机密的::classified, underground, chamber, inside, confidential	adj::secretive::秘密的；偷偷摸摸的；促进分泌的¦adv::secretly::秘密地；背地里¦n::secrecy::保密；秘密；隐蔽					
fall in love with			::爱上；与...相爱::			::爱上::be sweet on, take a fancy to						
grammar	'græmɚ	'græmə	n::语法::the rules by which words change their forms and are combined into sentences, or the study or use of these rules	english grammar::英语语法；英文文法¦grammar and vocabulary::语法与词汇¦generative grammar::生成文法；衍生语法¦grammar school::n. （英）文法学校；（美）初级中学¦case grammar::格文法¦universal grammar::普遍文法；通用文法¦transformational grammar::转换语法	Check your spelling and grammar.::检查你的拼写和语法。¦the rules of English grammar::英语的语法规则	n::语法；语法书::syntax, phraseology	adj::grammatical::文法的；符合语法规则的¦adv::grammatically::从语法上讲		gram(书写) ＋ mar(表物) → 语法(书)			
