abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃::The abandonment of a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。	n::[法]抛弃；放纵::rejection, loose	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandon:: 狂热；放任¦v::abandoned:: 抛弃（abandon的过去式和过去分词）¦vt::abandon:: 遗弃；放弃					
abnormally		æb'nɔ:məlɪ	adv::不正常的::		Both were big at birth but were not abnormally large.::这两个孩子出生时都比较大，但并非异常的大。¦This way, if the function or procedure crashes or terminates abnormally, it will not affect any of the other instance processes.::这样，如果该函数或过程崩溃或者异常终止，也不会对其他实例进程产生任何影响。¦People with the condition have red blood cells smaller than normal — causing a mild form of anaemia — but abnormally high levels of them.::患有这种病的人的红细胞比正常人的更小——这导致了一种轻微的贫血——但是红细胞水平异常地高。	adv::反常地；变态地；不规则地::eccentrically, freakishly	adj::abnormal:: 反常的，不规则的；变态的¦n::abnormality:: 异常；畸形，变态¦n::abnormalcy:: 反常；变态；畸形（等于abnormality）					
absolutely	'æbsəlutli	ˈæbsəlu:tli	adv::当然::used when you strongly disagree with someone or when you do not want someone to do something	absolutely necessary::绝对必要	‘Do you let your kids travel alone at night?’ ‘Absolutely not!’::“你会让孩子们晚上单独外出吗？”“当然不行！”	adv::绝对地；完全地::totally, entirely, completely, thoroughly, strictly, fully	adj::absolute:: 绝对的；完全的；专制的¦n::absolute:: 绝对；绝对事物¦n::absolutism:: 专制主义；绝对论¦n::absolutist:: 绝对论者；专制主义者¦n::absoluteness:: 绝对，完全；无限制			...which does absolutely nothing for the climate...::2013.6/CET6/阅读理解/第三套¦...there's no disputing that every child is different--and some will absolutely do better with less...::2012.12/CET6/阅读理解/第二套		
abstract	'æbstrækt	'æbstrækt	adj::抽象的::based on general ideas or principles rather than specific examples or real events	in the abstract::抽象地；理论上；概括地¦abstract art::n. 抽象派；抽象主义¦abstract class::[计]抽象类（不允许实例化的类）¦abstract thinking::抽象思维；抽象思考能力¦abstract painting::抽象画；抽象绘画¦abstract noun::抽象名词¦abstract factory::抽象工厂¦abstract data type::[计]抽象数据类型¦abstract expressionism::n. 抽象表现主义¦abstract idea::抽象观念¦abstract algebra::抽象代数¦abstract away from::对…不予考虑	By the age of seven, children are capable of thinking in abstract terms .::儿童到了七岁就具有抽象思维的能力。¦Human beings are the only creatures capable of abstract thought (=  thinking about ideas  ) .::人类是唯一具有抽象思维能力的动物。	n::[图情]摘要；抽象；抽象的概念::brief, summary, resume¦adj::抽象的；深奥的::deep, nonobjective¦vt::[图情]摘要；提取；使……抽象化::extract, brief	adj::abstracted:: 心不在焉的；出神的；分离出来的；抽出的¦adj::abstractionist:: 抽象派艺术的¦adj::abstractive:: 摘要式的；具有抽象能力的¦adv::abstractly:: 抽象地；理论上地¦adv::abstractedly:: 茫然地；抽象地；心不在焉地¦n::abstraction:: 抽象；提取；抽象概念；空想；心不在焉¦n::abstractionism:: 抽象派艺术；抽象主义理论¦n::abstractionist:: 抽象派艺术家；理想主义者¦n::abstractor:: 萃取器；[图情] 摘录者		 abs(离去) ＋ tract(拉) → 把大意从文中拉出来 → 摘要	...and abstract concepts present coding problems...::2017.12/CET6/阅读理解/第三套¦...a abstract concepts are hard to program...::2017.12/CET6/阅读理解/第三套¦...and abstract concepts present coding problems...::2017.12/CET6/阅读理解/第二套¦...as if they were abstract people in an abstract world...::2014.6/CET6/阅读理解/第三套¦...and basing ourselves on abstract notions about abstract people...::2014.6/CET6/阅读理解/第三套¦...Too much of our current immigration controversy is conducted in terms of abstract ideals...::2014.6/CET6/阅读理解/第三套		
abuse	ə'bjus	ə'bju:s	n::虐待::cruel or violent treatment of someone¦v::滥用::to deliberately use something for the wrong purpose or for your own advantage	drug abuse::药物滥用；毒品滥用¦child abuse::虐待儿童，摧残儿童¦substance abuse::物质滥用；滥用药物¦sexual abuse::性虐待¦abuse of power::滥用权力¦alcohol abuse::酒精滥用，酗酒¦physical abuse::躯体虐待；身体伤害；外观损坏¦verbal abuse::言语虐待；口头谩骂；说粗话，用污言秽语¦sex abuse::性虐待（等于sexual abuse）¦emotional abuse::精神虐待	several cases of child abuse::数宗虐待儿童案¦An independent committee will look into alleged human rights abuses.::一个独立委员会将对涉嫌践踏人权的行为进行调查。	n::滥用；虐待；辱骂；弊端；恶习，陋习::punishment, vice¦vt::滥用；虐待；辱骂::strain, maltreat	adj::abusive:: 辱骂的；滥用的；虐待的¦adv::abusively:: 滥用地；辱骂地¦n::abused:: 滥用，恶习；受虐¦v::abused:: 滥用；虐待；辱骂（abuse的过去分词）		 ab(变坏) ＋ use(使用) → 使用不当 → 滥用	...overuse and abuse of the voice...::2016.6/CET6/听力题/第三套¦...with the country in a period of tranquility and the dangers of drug abuse and other unwholesome behavior well known...::2016.6/CET6/阅读理解/第一套¦...drug abuse and premarital sex are in general decline...::2016.6/CET6/阅读理解/第一套¦...Are cities and towns less safe and kids more vulnerable to crimes like child kidnap and sexual abuse than they were in previous generations...::2009.6/CET6/阅读理解/¦...fight against child abuse...::2009.6/CET6/阅读理解/		
accelerate	əkˈsɛləˌret	ək'seləreɪt	v::加速::if a process accelerates or if something accelerates it, it happens faster than usual or sooner than you expect		measures to accelerate the rate of economic growth::加快经济增长速度的措施	vi::加速；促进；增加::improve, increase speed	adj::accelerated:: 加速的；加快的¦adj::accelerating:: 促进的，[物] 加速的；催化的¦adj::accelerative:: 加速的；促进的；催促的¦adj::acceleratory:: 加速的；催促的（等于accelerative）¦n::acceleration:: 加速，促进；[物] 加速度¦n::accelerator:: 油门；催化剂；[机] 加速装置¦n::accelerometer:: [航][物] 加速计¦v::accelerated:: 加速；促进（accelerate的变形）		 ac(表加强) ＋ celer(速度) ＋ ate(使…) → 使增速	...Although many researchers broadly agree that public access to raw data would accelerate science...::2017.6/CET6/阅读理解/第二套¦...The pending bills would spend additional money to accelerate this effort...::2016.6/CET6/阅读理解/第二套¦...Efforts to accelerate the current energy transitions didn't succeed as expected...::2015.12/CET6/阅读理解/第二套¦...the process of urbanization will only accelerate in the decades to come — with an enormous impact on biodiversity and potentially on climate change...::2014.12/CET6/阅读理解/第二套		
accomplish	ə'kɑmplɪʃ	ə'kʌmplɪʃ	v::实现::to succeed in doing something, especially after trying very hard	accomplish nothing::一事无成；一无所成	We have accomplished all we set out to do.::所有计划要做的事情，我们都已完成。¦(=  we have done what we intended to do  ) .::大功告成。	vt::完成；实现；达到::carry out, come true, perform, complete, fulfill	adj::accomplished:: 完成的；熟练的，有技巧的；有修养的；有学问的¦adj::accomplishable:: 可完成的；可达成的¦n::accomplishment:: 成就；完成；技艺，技能		 ac ＋ compl(看作complete， 完成) ＋ ish(使) → 完成	...which can accomplish multiple goals at the same time...::2016.12/CET6/文本题/第三套¦...Understand what she's trying to accomplish and propose a Plan B that will make it happen without destroying what you've done so far...::2011.6/CET6/阅读理解/		
accountant	ə'kaʊntənt	əˈkaʊntənt	n::会计::someone whose job is to keep and check financial accounts, calculate taxes etc	certified public accountant::有合格证件的会计师¦public accountant::公共会计师¦chief accountant::总会计师；会计主任，会计处长¦chartered accountant::注册会计师；会计师；特许会计师¦professional accountant::专业会计师¦certified accountant::注册会计师；审定会计师¦tax accountant::税务会计；税务师¦assistant accountant::助理会计¦senior accountant::高级会计；主任会计师¦junior accountant::初级会计师；助理会计员¦qualified accountant::合格的会计师	The boss dropped an accountant from the payroll.::老板把一名会计师从在职人员名单中除了名。¦The accountant checked this unnecessary spending in good time.::会计及时卡住了这笔不必要的开支。¦They conferred with the accountant vis-à-vis the proposed budget.::他们与会计商量有关预算提案的事。		n::accounting:: 会计，会计学；帐单¦n::accountancy:: 会计工作；会计学；会计师之职¦n::accountantship:: 会计职务¦v::accounting:: 解释（account的ing形式）；叙述					
accrue	ə'kru	ə'kru:	v::积累::if money accrues or is accrued, it gradually increases over a period of time		Interest will accrue until payment is made.::利息将会累计增加，直至付清款项。	vi::产生；自然增长或利益增加::result, breed¦vt::获得；积累::acquire, earn, buy, score, find	adj::accrued:: [会计] 应计的；增值的；权责已发生的¦n::accrual:: 自然增长；自然增长额¦n::accruement:: 自然增长；获利；利息¦v::accrued:: 积累（accrue的过去分词）；形成					
accurate	'ækjərət	ˈækjərət	adj::精确的::correct and true in every detail	accurate measurement::精确测量¦accurate positioning::精确定位¦accurate model::准确模型¦accurate simulation::准确模拟¦accurate at::对…很正确¦accurate calibration::精确校准¦accurate record::精确记录¦accurate adjustment::精调；精密调整¦accurate grinding::精磨；精密磨削	The brochure tries to give a fair and accurate description of each hotel.::该手册尽量公正、准确地介绍每一家酒店。	adj::精确的::precise, mathematical, strict, rigid, refined	adv::accurately:: 精确地，准确地¦n::accuracy:: [数] 精确度，准确性		 ac ＋ cur(关心) ＋ ate → 不断关心使其准确无误 → 准确的， 正确无误的			
accuse	ə'kjuz	ə'kju:z	v::指控::to say that you believe someone is guilty of a crime or of doing something bad	accuse of::谴责，控告	The professor stands accused of (=  has been accused of  ) stealing his student’s ideas and publishing them.::那位教授被指控剽窃学生的观点拿去发表。	vt::控告，指控；谴责；归咎于::blame, law¦vi::指责；控告::law, come in for blame	adj::accused:: 被控告的¦adj::accusatory:: 非难的，指责的；控诉的，控告的¦adj::accusing:: 指责的；非难的；归咎的¦adj::accusatorial:: 责问的；控告者的¦adv::accusingly:: 责难地；以谴责的态度¦n::accusation:: 控告，指控；谴责¦n::accused:: 被告¦n::accuser:: 原告；控告者；指责者¦n::accusal:: 谴责；控告；罪名（等于accusation）¦v::accused:: 指责；控告（accuse的过去式）¦v::accusing:: 指责；指控（accuse的ing形式）		 ac(表加强) ＋ cuse(理由) → 有理由指责别人 → 指责	...A steady stream of similar headlines accuse the net and its offspring apps...::2017.12/CET6/阅读理解/第一套		
