ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
able	'ebl	'eɪb(ə)l	adj::能；[经管] 有能力的；能干的::clever or good at doing something¦n::(Able)人名；(伊朗)阿布勒；(英)埃布尔::	will be able to::将能够¦be able to do::能够做¦be able to take::经受得住某事(指困难、痛苦的事)¦able person::能人；有能力的人；有用的人才¦spell able::干练的；有能力的¦able seaman::一级水手；熟练水手；[英国，加拿大]二等水兵	one of my more able students::我班上能力比较强的学生之一	adj::能；[经管]有能力的；能干的::capable, efficient, competent	adv::ably:: 巧妙地；精明能干地¦n::ableism:: 体能歧视（由于对体能或智能较差的人不去作特别照顾所构成的歧视）	inept				
about	ə'baʊt	ə'baʊt	prep::关于；大约::concerning or relating to a particular subject¦adj::在附近的；四处走动的；在起作用的::¦adv::大约；周围；到处::a little more or less than a particular number, amount, or size¦n::大致；粗枝大叶；不拘小节的人::	how about::你认为…怎样¦what about::怎么样；（对于）…怎么样¦all about::到处，各处；关于…的一切¦about us::关于我们；公司简介¦do about::处理；应付；就某事采取行动或措施¦go about::v. 着手做；四处走动；传开；从事¦about to do::刚要；即将¦about of::打算；即将¦out and about::能够外出走动¦up and about::（病人病情好转）起床走动¦on or about::大约于…	a book about politics::一本有关政治的书¦She said something about leaving town.::她说了些要离开镇子的话。¦He lied about his age.::他谎报年龄。¦About that car of yours. How much are you selling it for?::说到你的那辆车，你打算卖什么价钱？¦What’s he on about (=  talking about  ) ?::他在说什么呀？¦It’s about Tommy, doctor. He’s been sick again.::医生，是汤米，他又病了。¦Naturally, my mother wanted to know all about it (=  all the details relating to it  ) .::很自然，我母亲想知道事情的全部。	prep::关于；大约::concerning, as for, with reference to, round, in relation to¦adj::在附近的；四处走动的；在起作用的::close-at-hand¦adv::大约；周围；到处::around, approximately, everywhere, throughout, something					You really don't have to worry ______ your weight. You look just right. ::4::1)for 2)from 3)with 4)about::译文：你真没有必要担心你的体重。你看起来刚刚好。本题考查了固定搭配worry about， 该短语表示“担心…”， 而worry和其他三个介词不能构成搭配， 	
above	ə'bʌv	ə'bʌv	prep::超过；在……上面；在……之上::¦adv::在上面；在上文::in a higher position than something else¦adj::上文的::used in a piece of writing to refer to something mentioned in an earlier part of the same piece of writing¦n::上文::Above is also a noun	above oneself::自高自大；趾高气扬；兴高采烈¦above all::首先；尤其是¦from above::从…上面；从上级；从天上¦all above::以上都是；所有上面的¦all of the above::上述全部¦well above::大大超过；远高于…¦over and above::除…之外；在…之上¦above and beyond::大于¦get above oneself::变得自高自大；自视甚高	Our office is above the hairdresser’s.::我们的办公室在理发店上面。¦He had a bruise just above his left eye.::就在他左眼上方有块瘀伤。¦I heard a strange noise coming from the room above.::我听见楼上房间传来奇怪的响声。¦The great bird hovered high above our heads.::那只大鸟在我们头顶上方的高处盘旋。¦For additional information, contact any of the above.::欲知详情，请与上述任一人联系。	prep::超过；在……上面；在……之上::beyond, without, than¦adv::在上面；在上文::hereinabove, thereinbefore						
abroad	ə'brɔd	ə'brɔːd	adv::在国外；到海外::in or to a foreign country¦adj::往国外的::¦n::海外；异国::	home and abroad::国内外，海内外¦at home and abroad::国内外¦study abroad::出国留学；海外学习¦go abroad::去国外，出国¦studying abroad::出国留学；出国学习¦went abroad::出国¦travel abroad::vi. 出国旅行¦spread abroad::传播¦market abroad::海外市场¦student abroad::n. 留学生¦consumption abroad::境外消费（服务贸易）	I’ve never lived abroad before.::我以前从未在国外生活过。¦She often goes abroad on business.::她经常出国公干。¦We never travelled abroad when we were kids.::我们小时候从来没有去国外旅行过。¦goods imported from abroad::从国外进口的商品¦The books about Harry Potter have been very popular, both at home and abroad .::有关哈利·波特的书在国内外一直都很流行。	n::海外；异国::foreign country			 ab(离去)+road(路)→离开故乡， 起程上路→到国外			
absent	ˈæbsənt	'æbs(ə)nt	adj::缺席的；缺少的；心不在焉的；茫然的::not at work, school, a meeting etc, because you are sick or decide not to go¦v::使缺席::to not go to a place or take part in an event where people expect you to be	absent from::缺席¦absent minded::健忘的¦absent from work::旷工；缺勤	The dull, absent look on her face implied boredom.::她脸上呆滞、茫然的神情说明她觉得无聊了。	adj::缺席的；缺少的；心不在焉的；茫然的::missing, vacant	adv::absently:: 心不在焉地¦n::absence:: 没有；缺乏；缺席；不注意¦n::absenteeism:: 旷工；旷课；有计划的怠工；经常无故缺席¦n::absentee:: 缺席者¦n::absentmindedness:: 恍惚；心不在焉		 送(sent)人玫瑰， 人不在场(absent)			
accent	'æksɛnt	'æks(ə)nt; -sent	n::口音；重音；强调；特点；重音符号::the way someone pronounces the words of a language, showing which country or which part of a country they come from¦v::强调；重读；带…口音讲话::to make something more noticeable so that people will pay attention to it		He had a strong Irish accent::他有浓重的爱尔兰口音。	n::口音；[语]重音；强调；特点；重音符号::stress, trait¦vt::强调；重读；带…口音讲话::emphasize, stress, highlight	adj::accentual:: 重音的；根据重音定节奏的；有抑扬的¦n::accentuation:: 重读；强调；增强；加重音符号¦vt::accentuate:: 强调；重读					
accept	ækˈsɛpt; əkˈsɛpt	ə'ksept	v::接受；承认；承担；承兑；容纳::to take something that someone offers you, or to agree to do something that someone asks you to do	accept of::v. 承兑	Rick accepted her offer of coffee.::她请里克喝咖啡，他接受了。¦He accepted the invitation to stay with us.::他接受了邀请来我们家住。¦His school reports said that he is always ready to accept a challenge (=  agree to do something difficult  ) .::他的学业报告上说他乐于接受挑战。¦Please accept this small gift.::请收下这份小小的礼物。¦They offered me a job and I accepted.::他们给我一份工作，我接受了。¦He readily accepted her invitation (=  accepted it quickly  ) .::他欣然接受了她的邀请。	vt::接受；承认；承担；承兑；容纳::undertake, adopt, recognize, contain, shoulder¦vi::承认；同意；承兑::recognize, grant	adj::acceptable:: 可接受的；合意的；可忍受的¦adj::accepted:: 公认的；录取的；可接受的；已承兑的¦adj::accepting:: 承兑的；易接受的；赞同的¦adj::acceptant:: 容易接受的；愿接受的¦adj::acceptive:: 易接纳的；可领受的¦adv::acceptably:: 可欣然接受地；合意地¦n::acceptance:: 接受；接纳；[金融] 承兑；赞同¦n::acceptability:: 可接受性；可容许性¦n::acceptor:: [金融] 承兑人；接受者；接收器¦n::acceptation:: 赞同；承认；通用意义¦v::accepted:: 接受（accept的过去式及过去分词）¦v::accepting:: 接受；同意；承担（责任等）（accept的ing形式）		 ac+cept(拿， 抓)→抓住把柄， 只好承认→承认			
accident	'æksədənt	'æksɪdənt	n::事故；意外；[法] 意外事件；机遇::in a way that is not planned or intended	traffic accident::交通事故¦by accident::偶然；意外地¦car accident::车祸；交通事故¦accident insurance::意外保险；事故保险¦accident prevention::事故预防；安全措施¦fire accident::火灾事故；失火¦accident rate::意外伤害率¦road accident::交通事故¦fatal accident::死亡事故¦nuclear accident::核事故¦industrial accident::工伤事故；工业事故；劳动事故¦have an accident::vi. 出事故¦cerebrovascular accident::[医]脑血管意外（等于中风）；脑血管伤害¦personal accident insurance::个人人身意外伤害保险¦collision accident::碰撞事故；空中相撞事故¦vehicle accident::交通事故¦aviation accident::航空事故；飞机失事；飞行事故¦transportation accident::交通事故¦minor accident::轻微事故；小事故¦unexpected accident::不能预料的事故	I met her quite by accident (=  completely by accident  ) .::我遇见她完全是偶然。¦The discovery was made almost by accident.::这项发现几乎纯属意外。¦The pilot, whether by accident or design (=  whether it was planned or not planned  ) , made the plane do a sharp turn.::不知是有意还是无意，那名飞行员让飞机来了个急转弯。	n::[安全]事故；意外；[法]意外事件；机遇::occurring, slip	adj::accidental:: 意外的；偶然的；附属的；临时记号的¦adv::accidentally:: 意外地；偶然地¦n::accidental:: 次要方面；非主要的特性；临时记号					
ache	ek	eɪk	v::疼痛；渴望::if part of your body aches, you feel a continuous, but not very sharp pain there¦n::疼痛::a continuous pain that is not sharp or very strong	aches and pains::痛苦；不适；各种各样的病痛¦stomach ache::胃疼¦ache for::想念，渴望¦tooth ache::牙痛¦ache all over::全身疼痛	His feet were aching from standing so long.::他站了那么久，双脚隐隐作痛。	vi::[临床]疼痛；渴望::rare, aspire¦n::[临床]疼痛::pain, achiness	adj::aching:: 疼痛的；心痛的¦adj::achy:: 疼痛的¦v::aching:: 疼痛；渴望（ache的现在分词形式）		 “癌克”→止痛药是癌症的克星→疼痛			
achieve	ə'tʃiv	ə'tʃiːv	v::取得；获得；实现；成功::to successfully complete something or get a good result, especially by working hard	achieve success::取得成功；获得成功¦achieve one's goals::实现目标	Frances achieved very good exam results.::弗朗西丝考试取得了优异成绩。¦Wilson has achieved considerable success as an artist.::威尔逊作为一名艺术家成就斐然。¦She eventually achieved her goal of becoming a professor.::她终于实现目标，当上了教授。	vt::达到；完成::accomplish, carry out, perform, complete, fulfil¦vi::达到目的；如愿以偿::gain one's ends, Make it.	adj::achievable:: 可完成的；可有成就的；做得成的¦n::achievement:: 成就；完成；达到		 相信(believe)自己能取得(achieve)成功		—My dream is to be a well-known star.—I believe you will _______ your dream if you keep on working hard.::4::1)imagine 2)complete 3)come true 4)achieve::译文：—我的梦想是成为明星。\n—我相信如果你一直勤奋努力， 你会实现你的梦想。本题最具迷惑性的是come true， 意思是“实现”， 但是该短语后面不能接名词， 只能说My dream will come true. 我的梦想将会实现。imagine意为“想象”； complete意为“完成”； 只有achieve可以表示梦想的实现， 	
