abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
abnormally		æb'nɔ:məlɪ	adv::不正常的		Both were big at birth but were not abnormally large.::这两个孩子出生时都比较大，但并非异常的大。¦This way, if the function or procedure crashes or terminates abnormally, it will not affect any of the other instance processes.::这样，如果该函数或过程崩溃或者异常终止，也不会对其他实例进程产生任何影响。¦People with the condition have red blood cells smaller than normal — causing a mild form of anaemia — but abnormally high levels of them.::患有这种病的人的红细胞比正常人的更小——这导致了一种轻微的贫血——但是红细胞水平异常地高。
absolutely	'æbsəlutli	ˈæbsəlu:tli	adv::当然	absolutely necessary::绝对必要	‘Do you let your kids travel alone at night?’ ‘Absolutely not!’::“你会让孩子们晚上单独外出吗？”“当然不行！”
abstract	'æbstrækt	'æbstrækt	adj::抽象的	in the abstract::抽象地；理论上；概括地¦abstract art::n. 抽象派；抽象主义¦abstract class::[计]抽象类（不允许实例化的类）¦abstract thinking::抽象思维；抽象思考能力¦abstract painting::抽象画；抽象绘画¦abstract noun::抽象名词¦abstract factory::抽象工厂¦abstract data type::[计]抽象数据类型¦abstract expressionism::n. 抽象表现主义¦abstract idea::抽象观念¦abstract algebra::抽象代数¦abstract away from::对…不予考虑	By the age of seven, children are capable of thinking in abstract terms .::儿童到了七岁就具有抽象思维的能力。¦Human beings are the only creatures capable of abstract thought (=  thinking about ideas  ) .::人类是唯一具有抽象思维能力的动物。
abuse	ə'bjus	ə'bju:s	n::虐待¦v::滥用	drug abuse::药物滥用；毒品滥用¦child abuse::虐待儿童，摧残儿童¦substance abuse::物质滥用；滥用药物¦sexual abuse::性虐待¦abuse of power::滥用权力¦alcohol abuse::酒精滥用，酗酒¦physical abuse::躯体虐待；身体伤害；外观损坏¦verbal abuse::言语虐待；口头谩骂；说粗话，用污言秽语¦sex abuse::性虐待（等于sexual abuse）¦emotional abuse::精神虐待	several cases of child abuse::数宗虐待儿童案¦An independent committee will look into alleged human rights abuses.::一个独立委员会将对涉嫌践踏人权的行为进行调查。
accelerate	əkˈsɛləˌret	ək'seləreɪt	v::加速		measures to accelerate the rate of economic growth::加快经济增长速度的措施
accomplish	ə'kɑmplɪʃ	ə'kʌmplɪʃ	v::实现	accomplish nothing::一事无成；一无所成	We have accomplished all we set out to do.::所有计划要做的事情，我们都已完成。¦(=  we have done what we intended to do  ) .::大功告成。
accountant	ə'kaʊntənt	əˈkaʊntənt	n::会计	certified public accountant::有合格证件的会计师¦public accountant::公共会计师¦chief accountant::总会计师；会计主任，会计处长¦chartered accountant::注册会计师；会计师；特许会计师¦professional accountant::专业会计师¦certified accountant::注册会计师；审定会计师¦tax accountant::税务会计；税务师¦assistant accountant::助理会计¦senior accountant::高级会计；主任会计师¦junior accountant::初级会计师；助理会计员¦qualified accountant::合格的会计师	The boss dropped an accountant from the payroll.::老板把一名会计师从在职人员名单中除了名。¦The accountant checked this unnecessary spending in good time.::会计及时卡住了这笔不必要的开支。¦They conferred with the accountant vis-à-vis the proposed budget.::他们与会计商量有关预算提案的事。
accrue	ə'kru	ə'kru:	v::积累		Interest will accrue until payment is made.::利息将会累计增加，直至付清款项。
accurate	'ækjərət	ˈækjərət	adj::精确的	accurate measurement::精确测量¦accurate positioning::精确定位¦accurate model::准确模型¦accurate simulation::准确模拟¦accurate at::对…很正确¦accurate calibration::精确校准¦accurate record::精确记录¦accurate adjustment::精调；精密调整¦accurate grinding::精磨；精密磨削	The brochure tries to give a fair and accurate description of each hotel.::该手册尽量公正、准确地介绍每一家酒店。
accuse	ə'kjuz	ə'kju:z	v::指控	accuse of::谴责，控告	The professor stands accused of (=  has been accused of  ) stealing his student’s ideas and publishing them.::那位教授被指控剽窃学生的观点拿去发表。
accustom	ə'kʌstəm	ə'kʌstəm	v::使习惯		She tried to accustom herself to the tight bandages.::她尝试着使自己习惯那些紧绷的绷带。
achieve	ə'tʃiv	ə'tʃi:v	v::达到，实现	achieve success::取得成功；获得成功¦achieve one's goals::实现目标	Frances achieved very good exam results.::弗朗西丝考试取得了优异成绩。¦Wilson has achieved considerable success as an artist.::威尔逊作为一名艺术家成就斐然。¦She eventually achieved her goal of becoming a professor.::她终于实现目标，当上了教授。
acquaintance	ə'kwentəns	ə'kweɪntəns	n::熟人	acquaintance with::相识¦acquaintance with someone::对某人的相识，熟¦nodding acquaintance::相识不深的人；不完整或肤浅的知识¦make the acquaintance of::vt. 和…相识，结识	She was a casual acquaintance of my family in Vienna.::她是我们家在维也纳的一个交情不深的朋友。¦He heard about the job through a mutual acquaintance (=  someone you and another person both know  ) .::他是通过一个双方都认识的人知道有这份工作的。
activate	'æktə'vet	'æktɪveɪt	v::激活		Cooking fumes may activate the alarm.::烹调时的油烟可能会触发警报器。¦The yeast’s growth is activated by sugar and warmth.::糖分和温暖的环境会激发酵母菌的生长。
acutely	ə'kjutli	əˈkju:tli	adv::敏锐地	acutely aware::清醒地看到	We continue to conduct tests, but increasingly, we conduct long conversations with her, acutely aware that our creation will raise many ethical questions on the part of the public.::我们将继续进行测试，但越来越多地，随着长时间的交谈，我们敏锐地意识到，我们的作品将在公众当中引起许多道德问题。
addict	'ædɪkt (for n.); əˈdɪkt (for v.)	'ædɪkt	v::上瘾，沉溺	drug addict::吸毒者；滥用药物者	Meanwhile, Walt's meth-business partner, the addict Jesse, is still recovering from the drug-related death of his girlfriend Jane at the end of last season.::而沃特的制毒搭档——瘾君子杰西还未从女朋友之死的痛苦中恢复过来。 他的女朋友简在上一季结尾时死于毒品。
