abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
abbreviation	n::缩略语	
abnormal	adj::反常的；变态的	abnormal phenomena::异常现象¦abnormal behavior::异常行为；变态行为¦abnormal condition::异常情况¦abnormal psychology::变态心理学¦abnormal sound::不正常声音；杂音¦abnormal return::异常返回¦abnormal situation::异常情况¦abnormal distribution::[化]非正态分布¦abnormal menstruation::月经失调
abolish	v::废除	
aboriginal	n&a::土著(的)；土生动植物(的)	
abort	v::取消；流产	
abortion	n::流产；(计划)失败	induced abortion::n. [医]人工流产¦spontaneous abortion::自然流产；自发性流产¦threatened abortion::先兆流产¦habitual abortion::习惯性流产¦incomplete abortion::不全流产，不完全流产
abound	v::多；富于	abound in::vt. 富于¦abound with::充满
abrasion	n::磨损，擦伤处	abrasion resistance::耐磨性；抗磨损性¦abrasion resistant::耐磨性，耐磨的¦resistance to abrasion::磨蚀阻力¦abrasion proof::[机]耐磨¦abrasion wear::磨损；磨耗¦abrasion test::磨耗试验¦abrasion performance::耐磨性，耐磨耗性¦surface abrasion::表面磨蚀，表面磨耗¦abrasion tester::磨耗试验机
abridge	v::(书等)删节	
abrupt	adj::突然的，粗暴的	abrupt change::突变；陡变¦abrupt slope::陡坡
absorb	v::吸收；吸引	absorb in::集中精力做某事；全神贯注于
abstract	adj::抽象的¦n::(书籍、演说等的)摘要	in the abstract::抽象地；理论上；概括地¦abstract art::n. 抽象派；抽象主义¦abstract class::[计]抽象类（不允许实例化的类）¦abstract thinking::抽象思维；抽象思考能力¦abstract painting::抽象画；抽象绘画¦abstract noun::抽象名词¦abstract factory::抽象工厂¦abstract data type::[计]抽象数据类型¦abstract expressionism::n. 抽象表现主义¦abstract idea::抽象观念¦abstract algebra::抽象代数¦abstract away from::对…不予考虑
absurd	adj::可笑的，荒谬的	theatre of the absurd::荒谬剧场；荒诞派戏剧
abundance	n::丰富	in abundance::大量的；丰富的；充足的¦an abundance of::adj. 大量的……¦relative abundance::相对多度；元素丰度¦species abundance::物种丰度
abuse	n&vt::滥用；恶习；辱骂	drug abuse::药物滥用；毒品滥用¦child abuse::虐待儿童，摧残儿童¦substance abuse::物质滥用；滥用药物¦sexual abuse::性虐待¦abuse of power::滥用权力¦alcohol abuse::酒精滥用，酗酒¦physical abuse::躯体虐待；身体伤害；外观损坏¦verbal abuse::言语虐待；口头谩骂；说粗话，用污言秽语¦sex abuse::性虐待（等于sexual abuse）¦emotional abuse::精神虐待
